fishnetid,CO2,fishnetid,CO2psqkm
0,559406.980527417,0,223.42248545037407
10,76483005.64799374,2,30546.67498156483
100,109291655.83939837,4,43650.17641289202
102,84495183.96861164,6,33746.67222252936
104,6890943.159540103,8,2752.185262954955
106,2038686.6513546736,10,814.2344564072304
108,23674142.625743743,13,37820.97380592802
110,35668105.32826685,15,57154.45437667792
112,30138410.094611302,16,48293.68896622848
114,70872827.33273736,18,28306.01652243651
116,125293743.41740151,20,200164.8576148781
119,94606056.44727074,22,151139.29316635456
121,53396842.54700833,24,85562.92444255458
123,80756855.97184291,26,32253.6151790164
125,40764111.85240252,28,16280.846511164425
127,46539761.49594647,30,18587.59283963232
129,36345792.32145538,32,130645.66552881633
13,2090596.699201392,34,7529.816149648317
131,146923396.1838942,36,529182.0090260706
133,69477637.24507292,38,250747.72417624126
135,125384977.32612933,40,452519.67333769856
138,11094852.565919027,44,17724.74445684739
140,47891987.87910387,46,76741.96347276513
143,70060521.09317395,49,28151.784740607018
147,67832894.03637253,51,27256.677533196067
149,86406037.85636526,53,34719.75572071656
15,9678987.257469743,55,3889.2197992217266
151,60185479.69453427,57,24183.786281255118
153,119146677.20908867,59,47875.63034091702
155,22181822.54663181,61,8913.12088096868
157,10685474.9636027,63,17174.56871902104
16,12458927.757645816,65,20025.006999488403
160,20689552.88786675,67,33356.11900803981
162,23268522.478915703,69,9349.779673879964
164,41226541.74888052,71,16565.68793387405
166,21026487.928604107,72,8448.88323382321
168,58023964.9104372,74,23315.244369689375
170,32266360.91315396,76,12965.29960977322
172,6460213.370141923,78,2595.8490364745844
174,4250585.693422375,80,1718.528169700642
177,21092684.920848496,82,8527.853765468488
179,67293071.54137507,84,27206.848046491887
18,17668911.76358205,86,7143.609089133084
181,44856728.99137135,89,18135.748325598815
183,28732387.445377678,91,11616.6149253372
185,39643092.68166143,93,16027.855081927937
187,13941554.450510597,96,5636.624169157129
189,24983574.79878255,98,10100.95553136879
191,26612700.442960102,100,10759.617304929272
193,85380768.44458018,102,34519.77358079307
195,4491543.937777643,104,1815.9485160983395
197,21585808.413809307,106,8782.00663725599
199,42624579.24952976,108,17341.455585241867
2,3878298.265744978,110,1577.8533959951665
20,6123904.424772704,112,2491.459586469289
201,96671165.30787678,114,39329.859650839746
203,88636648.87948634,116,36061.083460084395
205,63617366.705117375,119,25882.196577435647
207,166505292.0258523,121,67741.29333853467
209,126390392.47095738,123,51420.8800655921
211,69212279.20918258,125,28158.440200265763
213,31885408.016609117,127,12972.313080215008
215,27658861.277952366,129,11252.777689184313
217,58174092.465243906,131,23667.645721309687
219,64016123.85454775,133,26044.427607463538
22,1587124.5451512802,135,645.7084220553606
221,26787386.050761215,138,10967.714316053654
223,403718.74738202244,140,165.29690044897941
225,40622882.606651716,143,149691.916149611
227,24441394.76500337,147,10007.181542852542
229,21657117.38694612,149,8867.198761355476
231,11265736.152319087,151,4612.595474770511
233,29815229.967411444,153,12207.42195339042
235,28065979.657369673,155,103420.78168622151
237,15093226.711517012,157,55617.27485477663
239,12760704.870087393,160,47122.897764353926
24,11937257.790249625,162,44082.061623045476
241,11973863.238145467,164,44217.23869957366
243,15535845.188356355,166,57494.56064880803
245,28820897.78313267,168,106659.45981408306
247,23506373.314551387,170,86619.01463898366
249,14975715.458711462,172,55184.255741585395
251,35000643.56572118,174,129250.83412126821
254,47493841.53377906,177,175763.6948233282
256,40204173.810608864,179,16461.02728471313
258,18487867.965599235,181,7569.594650831784
26,47734364.81873847,183,19544.15691766695
260,4410529.545011931,185,1805.8286068128825
262,8077220.890512896,187,3307.10323982084
264,7560628.459324122,189,3095.5918145411774
267,115249.78476680115,191,47.18738558191645
269,8889446.026619736,193,3639.6572723889567
272,3081902.97792796,195,1261.841351285859
274,10296064.081492731,197,4242.879655553711
276,9455676.35561146,199,3896.5663501297477
278,11180028.926874975,201,4607.150548684382
28,57122155.96998179,203,23539.328381031326
280,5444166.052392174,205,2243.4729623207395
282,68198356.6698863,207,28103.692611721
284,87512248.19590095,209,36062.70653944096
286,295700741.6303804,211,121854.5893717633
288,133726216.30513623,213,220427.3247526269
290,104715906.85403171,215,172608.2427563003
292,103522667.23022392,217,171199.53790884378
294,23696899.294862658,219,9765.196789966078
296,8456777.844984405,221,3484.932726333502
298,107217490.08306621,223,176731.72216114536
30,78491781.43353777,225,129804.96997029646
300,31499533.243393026,227,52092.026605345454
302,47084339.28908503,229,77611.37070950808
304,26165930.177637655,231,43130.55545937044
306,29635147.89780777,233,49008.81866463158
308,31424010.7379791,235,51967.13204481574
310,36280726.58681161,237,59803.258647234135
312,50899360.74119431,239,83899.85322099608
314,65994661.29252074,241,109137.98707102507
316,134343086.91721758,243,222168.48750938073
318,277006796.00527054,245,114151.0474214599
32,5494077.2383659305,247,2264.0407398594407
320,147043662.87414518,249,242379.1095323922
322,50093724.989093505,251,82571.88523934262
324,195204189.60665748,254,322816.9052504212
326,76257195.11768232,256,282821.2960306228
328,93389457.20405571,258,346361.11754813406
330,117387074.28199469,260,435363.0425881927
331,29656489.750223152,262,110228.85843275029
333,41014197.71770839,264,152443.8068036674
335,15553389.462662106,267,25806.047373290738
337,37732706.47676208,269,62605.77562204693
339,36916763.17889205,272,61455.46166649774
34,23458623.40877877,274,38922.34219765391
341,19819042.493755385,276,32992.82768479923
343,29008421.515004937,278,48290.41830623725
345,56968481.94543802,280,23630.434349097064
347,59621820.20399574,282,24731.034775572563
349,162792086.04959914,284,67525.89450482462
351,44955062.19656754,286,18647.287230033773
354,55239194.30914061,288,22913.128629078845
356,59980429.30856546,290,24879.78525325993
358,28159860.092580132,292,11680.664509101725
36,30047014.296349954,294,49853.74256968026
360,56199583.00237883,296,93245.8551751767
362,8694375.0164291,298,14473.555765090596
364,63254803.844036326,300,105300.48785755323
366,80316945.84436768,302,33315.339483910866
368,65261356.66485897,304,27070.305395867854
370,48948954.46920156,306,20303.9472975466
372,65796292.909647316,308,27292.19608668025
374,48196849.076030515,310,19991.975194551967
376,30172134.191906273,312,12515.352557171276
378,41659432.37601002,314,17395.72217849866
38,44921323.658350594,316,18757.78957327065
380,6486084.883993533,318,2708.3933753520546
382,21484586.633880302,320,8971.315231315853
384,39859548.37504825,322,16644.144918596146
387,2665216.1518714232,324,4451.64912342797
389,9585204.622248603,326,16063.965608790308
391,20145045.130128212,328,33761.33582028616
393,114230037.92661615,330,47699.01774646169
395,92430738.36403078,331,38596.28789037747
396,80541738.15772033,333,33631.8000715714
398,52842938.00470057,335,22065.616745051073
4,11945913.928358998,337,4988.25327216073
40,18210068.99873334,339,30622.257222179556
400,34581818.64792901,341,58352.449411508474
402,28563680.659839183,343,48197.60197341423
404,32903880.818889357,345,13832.904169526675
406,8948276.008842144,347,3761.8858758365186
408,18185065.822316673,349,7645.063943102754
412,66197835.66786702,351,111700.48331717243
415,34673953.663379624,354,131193.2150874981
417,23489652.564196177,356,88876.02120895902
419,18492959.250242647,358,70129.95887905071
421,19418913.007750195,360,73641.40872648683
423,11507218.671098327,362,43738.28979375325
425,17461000.462345157,364,7340.664386342651
426,9500357.487799207,366,3993.9828200911306
429,46036760.15891767,368,19354.01161519546
431,40661396.724087365,370,17094.190420253046
435,5994415.232709004,372,2537.4406009298636
437,12761786.766577838,374,48618.58314214471
439,24271016.767689217,376,92465.30037272193
44,585473.6247056616,378,2230.4790560230585
441,27502867.73347604,380,105020.3167735049
443,16472952.404262347,382,62757.01206359835
445,73566346.00382486,384,280265.73199121543
447,63847125.87465046,387,243801.6809524237
449,774168.126350893,389,2956.1783394086965
451,41055910.320019715,391,156772.9136109251
453,20672809.349410545,393,8750.816175070142
455,3681912.4565691445,395,1558.5563885179376
457,6384361.627047912,396,2702.505211032723
459,55654608.22882363,398,23558.638677227635
46,52718391.74731412,400,22315.73597128127
49,8214005.33853924,402,3501.331067357434
51,5261823.360644219,404,2242.923500077404
53,6221500.745335661,406,2651.9989879998493
55,6353598.042051128,408,2708.3072505150594
57,80138740.77538717,412,34160.22405771532
59,230031775.4330294,415,392216.0578167443
6,72979749.60448456,417,124874.0053359035
61,31180495.50314403,419,13385.583676422399
63,56314215.518184915,421,24175.326011568384
65,17009889.712113604,423,7302.234887359304
67,53395873.732610494,425,22922.50088685941
69,240842623.56000596,426,103392.16996043111
71,116089899.4372392,429,49836.637867025085
72,16033250.288705435,431,27531.837938862685
74,67580400.68838742,435,116463.6142245384
76,23239180.937442243,437,40048.87476284929
78,77244726.48995398,439,33160.658075154155
8,71605738.60540916,441,30739.877296628147
80,18116179.95199479,443,7777.158083331227
82,10396206.109578853,445,4463.023584184852
84,4669014.321719802,447,2004.377444338298
86,88504957.25461018,449,38268.87021894549
89,128616417.59576407,451,55612.76052411803
91,81052062.86071904,453,35046.29538062436
93,33312588.540408615,455,14404.109860677985
96,112266772.12034437,457,48543.29819982484
98,96342090.66616036,459,41657.5870854181
