fishnetid,CO2,CO2psqkm
0,1116328.071,445.8521271
2,72846702.07,29094.36564
4,25691935.56,10261.14492
6,68715861.77,27444.54245
8,6284755.381,2510.078916
10,1214261.852,484.9660628
13,13605218.93,21735.21707
15,20443162.64,32758.05642
16,21315512.19,34155.90646
18,67851601.86,27099.36425
20,107534005.7,171792.5282
22,105059726.6,167839.7073
24,40885059.64,65514.08477
26,52061998.01,20793.12808
28,23162319.28,9250.837265
30,40697591.63,16254.27889
32,31192508.16,112122.0842
34,2879847.52,10372.50388
36,82926720.94,298681.6935
38,37413486.85,135026.8526
40,111198252.8,401319.186
44,10562405.88,16874.12644
46,50993460.31,81711.75268
49,61083944.99,24544.80846
51,72750818.71,29232.80267
53,61493922.85,24709.54614
55,12338758.11,4957.971433
57,36549180.4,14686.22618
59,94266044.44,37878.07099
61,20618623.82,8284.994893
63,8695179.546,13975.60325
65,15185116.9,24406.76101
67,17945343.73,28931.84904
69,27901043.93,11211.22382
71,52690428.44,21172.11771
72,21259033.48,8542.324906
74,65655516.48,26381.76163
76,27876971.47,11201.551
78,273730.4534,109.9906292
80,6966296.917,2816.500679
82,25392942.72,10266.46456
84,69411684.14,28063.41128
86,8440863.512,3412.673633
89,77145417.39,31190.18942
91,58610023.59,23696.25831
93,56297130.87,22761.14687
96,14302672.04,5782.625403
98,13450925.54,5438.261012
100,6924792.545,2799.720301
102,86601625.41,35013.37076
104,5291541.424,2139.390582
106,13967036.91,5682.372812
108,19941293.16,8112.949281
110,6071175.033,2470.007072
112,7624524.253,3101.974284
114,82907379.41,33730.17782
116,82654002.29,33627.09345
119,28097879.19,11431.38848
121,110713393.8,45042.82353
123,111077551,45190.97786
125,63452375.42,25815.07125
127,32686652.23,13298.29263
129,27626577.5,11239.6433
131,50890266.56,20704.28173
133,71089390.37,28922.12727
135,1904253.169,774.7295654
138,24566867.64,10058.55463
140,514764.598,210.763045
143,30678267.96,113046.845
147,6052841.189,2478.249756
149,24358769.1,9973.35164
151,6089267.248,2493.163888
153,15820182.13,6477.34862
155,12315006.21,45379.76528
157,5068574.715,18677.27282
160,3952841.019,14597.10299
162,15824852.46,58438.22204
164,7788022.722,28759.71212
166,5933667.153,21959.12626
168,14046520.59,51982.91567
170,6474793.982,23859.07291
172,7051323.638,25983.53635
174,29529929.85,109048.511
177,31701665.05,117320.5115
179,41564652.43,17018.05591
181,20290543.11,8307.674358
183,35645415.32,14594.50844
185,3538136.794,1448.6398
187,4487159.033,1837.203461
189,4416513.388,1808.278606
191,22736.21459,9.309019769
193,877142.4435,359.133501
195,485921.6291,198.9537015
197,1676553.835,690.8869351
199,1953995.116,805.2170285
201,3212770.274,1323.942579
203,35120862.2,14472.86949
205,1727931.383,712.0589823
207,46744379.61,19262.77611
209,64190269.95,26452.01004
211,100370029.7,41361.23802
213,59731046.21,98457.54322
