fishnetid,CO2,fishnetid,CO2psqkm
0,2034259.0840663668,0,1310.9821587804206
10,40718126.596256,2,26240.874589066178
100,14996150.379818214,4,9664.297803715015
102,63722241.602308765,6,41065.920517426515
104,45457291.789438576,8,29295.038665038333
106,147237884.92915577,10,94887.73664603206
108,25361714.305669516,12,16344.40530768409
110,26494319.782416858,14,17074.315074135608
112,3249702.4975439897,16,2094.2769920477613
113,50194323.664977826,18,32347.82792037367
115,92478620.7715772,20,59598.024091312254
116,30800550.656549092,22,19849.473799882555
118,47084914.14635452,24,30343.963007007413
12,5523712.930332107,26,3559.767366217084
120,32200969.853599373,28,20751.97663077891
122,50162627.23461787,30,32327.40109518488
124,105551192.44113764,32,68022.66791490745
126,17039510.099130396,34,10981.144884291427
128,38273377.57694486,36,24665.351406145845
130,15059555.05554585,38,9705.159068296925
132,52330299.716724776,40,33724.36177358621
134,26347945.614844784,42,16979.983961792856
136,37410890.51126576,44,24109.519966512325
138,32157393.911427025,48,20723.894031474105
14,38741925.39625179,50,24967.307944749075
140,75899081.05320768,52,48913.30799894224
142,88723232.25729471,54,57177.8567782717
146,55382807.7774631,56,35691.55643355157
148,18911340.79451386,58,12187.449757218425
150,13242099.094223429,59,8533.89609676823
152,36129502.01800637,61,23283.726700409952
154,11985675.831604294,63,7724.191721316793
156,5318761.973590885,65,3427.6863300220148
158,45002707.41726476,66,29002.080896655654
16,14829386.709608527,68,9556.826637387163
160,16455160.174220148,70,10604.559457173324
162,40804330.68647182,72,26296.42897993606
164,49271896.17740357,74,31753.367761168578
166,88203568.66654626,76,56842.95858296553
168,34290868.06842605,78,22098.81553382959
170,37023539.92905237,80,23859.891142704946
172,59127872.42175768,82,38105.07050882624
174,40316676.1376679,84,25982.159072952472
176,14228602.07102458,87,9169.649827598267
178,95324023.20415221,89,61431.74913296214
18,24531076.063025467,92,15809.098902990389
180,37814776.20998492,94,24369.804877787723
182,9840317.694016157,96,6341.611564933584
183,31276752.28523457,98,20156.36285058347
185,31464047.845180213,100,20277.065832534376
187,43203722.26851464,102,27842.721475628532
189,59472958.43090005,104,38327.46184765515
191,42633960.33943702,106,27475.537310335305
193,76171244.7761307,108,49088.70443089825
195,58080323.143599585,110,37429.97537228965
197,27069584.606680382,112,17445.045590759826
199,6868673.240124796,113,4426.529611113358
2,38430158.893791914,115,24766.389425750374
20,18161670.272281457,116,11704.323154855803
201,17348339.609413326,118,11180.170653062483
203,14103310.58483025,120,9088.905489605924
205,13531845.57264394,122,8720.62376914487
208,27095787.21639829,124,17461.931912724773
210,22786420.80506412,126,14684.752484028957
212,59742634.560668245,128,38501.25514544313
214,64000197.34297374,130,41245.04962629792
216,58345922.88777509,132,37601.14163558327
218,54702299.83212011,134,35253.00178619089
22,35984317.17629718,136,23190.16205139502
220,87171251.50884123,138,56177.67981559784
223,10157340.61311641,140,6545.917591693036
225,49315074.94419429,142,31781.194400038796
227,11774648.999263242,146,7588.1950754667205
229,23939624.986336324,148,15427.937125022072
231,26674392.63197544,150,17190.363366558693
233,18762396.29553334,152,12091.462189881806
235,29344281.89719501,154,18910.978611705134
237,9523140.423855698,156,6137.206066338071
239,15858646.271881107,158,10220.13493152846
24,24703908.695649266,160,15920.48122375748
241,5496507.854850172,162,3542.2350032725385
243,15292385.429395668,164,9855.20704818803
245,27063281.74958876,166,17440.983702448164
247,32033313.685797494,168,20643.930292670197
249,11083069.890732337,170,7142.5055958076455
251,11442671.86025031,172,7374.251773073324
253,72537582.19674797,174,46746.98362949644
255,9867951.15000417,176,6359.419998514874
257,36221971.770064384,178,23343.31900904184
259,28202535.252645303,180,18175.177802174007
26,22178783.38752255,182,14293.159387729716
261,15233610.63901198,183,9817.329522074173
263,13878216.457560617,185,8943.843148624823
265,9661970.357824516,187,6226.675282901169
267,52694739.141451456,189,33959.22545811642
269,21387845.337289352,191,13783.43784799173
271,7780849.90932284,193,5014.383610803485
273,16707311.633388791,195,10767.058947464284
275,20258932.238841753,197,13055.90764179994
277,1063802.975778706,199,685.5698630656352
279,4064657.8762697834,201,2619.476545084045
28,5899842.104284455,203,3802.1645320012335
282,47609087.823301814,205,30681.76773599336
284,72971561.07139313,208,47026.66214557323
286,69927699.99320714,210,45065.0400500576
288,63938242.05007296,212,41205.12241925182
290,86141414.49664593,214,55513.99938274904
292,43489825.06836514,216,28027.10097237945
294,43824707.38435967,218,28242.916521636973
296,32331077.25011328,220,20835.824591390763
298,4619680.985602574,223,2977.162249793616
30,14469694.914023539,225,9325.022571540736
300,23557748.47810781,227,15181.836078667538
302,32496553.509589348,229,20942.46608340819
304,38486123.58967099,231,24802.455981084313
307,25913954.50601982,233,16700.297561375486
309,10190102.413344117,235,6567.03099653142
311,60208790.3800045,237,38801.67015508875
