from,to,capacity (veh/hr),length (m),Free Flow Time (min),B,Power,Speed Limit,Toll,Type
1849702071,6344820621,2400,50.042,0.050042,0.15,4,0,0,F
1849702071,1849702080,2400,77.095,0.077095,0.15,4,0,0,F
6344820621,135233327,2400,54.129,0.054129,0.15,4,0,0,F
6344820621,6344820622,2400,27.294,0.027294000000000002,0.15,4,0,0,F
1849702072,1849702071,2400,63.46,0.06346,0.15,4,0,0,F
1849702072,1849702080,2400,95.964,0.09596400000000001,0.15,4,0,0,F
3577738501,3577738509,2400,34.792,0.034792,0.15,4,0,0,F
3577738509,3577738533,2400,40.969,0.040969,0.15,4,0,0,F
3577738509,1849702072,2400,29256.562,29.256562000000002,0.15,4,0,0,F
3577738533,3577738536,2400,10.488,0.010487999999999999,0.15,4,0,0,F
3577738536,3577738501,2400,31.821,0.031821,0.15,4,0,0,F
3577738536,7255005662,2400,12009.106,12.009106,0.15,4,0,0,F
7255005662,7255005653,2400,230.121,0.230121,0.15,4,0,0,F
7255005662,7255005664,2400,20.396,0.020396,0.15,4,0,0,F
6344820617,1849702071,2400,29.27,0.02927,0.15,4,0,0,F
6344820617,3577738533,2400,29322.901,29.322901,0.15,4,0,0,F
6344820618,6344820621,2400,46.678,0.046678,0.15,4,0,0,F
6344820618,135233327,2400,91.423,0.091423,0.15,4,0,0,F
6344820622,6344820617,2400,41.22,0.017665714285714285,0.15,4,0,0,F
7255005540,7255005569,2400,2112.882,2.112882,0.15,4,0,0,F
7255005540,7255005552,2400,38.045,0.038045,0.15,4,0,0,F
7255005569,7255005585,2400,202.16,0.20216,0.15,4,0,0,F
7255005569,7255005572,2400,27.151,0.027150999999999998,0.15,4,0,0,F
7255005552,7255005545,2400,16.655,0.016655,0.15,4,0,0,F
7255005545,8074831382,2400,11991.676,11.991675999999998,0.15,4,0,0,F
7255005545,7255005557,2400,40.454,0.040454000000000004,0.15,4,0,0,F
8074831382,8074831375,2400,15.912,0.015912,0.15,4,0,0,F
7255005557,7255005540,2400,11.21,0.011210000000000001,0.15,4,0,0,F
7255005585,7255005594,2400,92.496,0.092496,0.15,4,0,0,F
7255005572,7255005581,2400,114.095,0.114095,0.15,4,0,0,F
7255005581,7255005552,2400,2036.949,2.036949,0.15,4,0,0,F
7255005582,7255005585,2400,32.9,0.0329,0.15,4,0,0,F
7255005582,7255005572,2400,209.345,0.209345,0.15,4,0,0,F
7255005594,7255005610,2400,2068.516,2.0685160000000002,0.15,4,0,0,F
7255005610,7255005611,2400,16.356,0.016356000000000002,0.15,4,0,0,F
7255005611,7255005651,2400,2778.721,2.778721,0.15,4,0,0,F
7255005611,7255005624,2400,38.053,0.038053,0.15,4,0,0,F
7255005651,7255005664,2400,227.182,0.227182,0.15,4,0,0,F
7255005651,7255005653,2400,19.098,0.019097999999999997,0.15,4,0,0,F
7255005624,7255005616,2400,10.906,0.010906,0.15,4,0,0,F
7255005616,7255005582,2400,2154.575,2.154575,0.15,4,0,0,F
7255005616,7255005610,2400,38.23,0.03822999999999999,0.15,4,0,0,F
7255005664,7255005672,2400,103.791,0.103791,0.15,4,0,0,F
7255005653,7255005661,2400,107.188,0.10718799999999999,0.15,4,0,0,F
7255005661,7255005624,2400,2663.427,2.663427,0.15,4,0,0,F
7255005672,3577738501,2400,11897.694,11.897694,0.15,4,0,0,F
626720452,7515770427,2400,4552.107,4.5521069999999995,0.15,4,0,0,F
626720452,2415136332,2400,47.47,0.04747,0.15,4,0,0,F
7515770427,7515770426,2400,730.003,0.730003,0.15,4,0,0,F
7515770427,674646255,2400,226.646,0.226646,0.15,4,0,0,F
2415136332,7865969494,2400,1379.954,1.379954,0.15,4,0,0,F
2415136332,626720452,2400,48.855,0.048854999999999996,0.15,4,0,0,F
631708660,631708707,2400,2228.465,2.2284650000000004,0.15,4,0,0,F
631708660,2042794283,2400,53.858,0.053858,0.15,4,0,0,F
631708707,4872406045,2400,2115.097,2.115097,0.15,4,0,0,F
631708707,7865979698,2400,59.31,0.05931000000000001,0.15,4,0,0,F
2042794283,4777503145,2400,5263.227,5.263227,0.15,4,0,0,F
2042794283,631708660,2400,51.92,0.05192000000000001,0.15,4,0,0,F
4872406045,7865981953,2400,3679.779,3.679779,0.15,4,0,0,F
4872406045,2042794119,2400,46.121,0.046121,0.15,4,0,0,F
7865979698,2042794283,2400,2227.694,2.2276939999999996,0.15,4,0,0,F
7865979698,631708707,2400,55.42,0.055420000000000004,0.15,4,0,0,F
631709219,6657465834,2400,3325.964,3.325964,0.15,4,0,0,F
631709219,7866005662,2400,49.983,0.049983,0.15,4,0,0,F
6657465834,631709236,2400,23.291,0.023291,0.15,4,0,0,F
7866005662,2379518826,2400,3680.689,3.680689,0.15,4,0,0,F
7866005662,631709219,2400,56.506,0.056506,0.15,4,0,0,F
631709236,631709251,2400,2413.085,2.413085,0.15,4,0,0,F
631709236,1804304508,2400,32.641,0.032640999999999996,0.15,4,0,0,F
631709251,1804304770,2400,554.037,0.554037,0.15,4,0,0,F
631709251,7865977882,2400,29.634,0.029634,0.15,4,0,0,F
1804304508,1804304457,2400,23.909,0.023909,0.15,4,0,0,F
1804304770,7865955676,2400,3974.727,3.974727,0.15,4,0,0,F
1804304770,1804304773,2400,44.266,0.044266,0.15,4,0,0,F
7865977882,1804304670,2400,13.38,0.013380000000000001,0.15,4,0,0,F
7865977882,7865977877,2400,23.695,0.023695,0.15,4,0,0,F
674646255,7515755579,1800,50.554,0.050554,0.15,4,0,0,A
7515770408,7515770407,2400,202.173,0.20217300000000002,0.15,4,0,0,F
7515755579,7515755580,1800,4.876,0.004876,0.15,4,0,0,A
1759908861,4872587990,2400,1701.983,1.701983,0.15,4,0,0,F
1759908861,7098334880,2400,41.711,0.041711,0.15,4,0,0,F
4872587990,7865962061,2400,2249.241,2.249241,0.15,4,0,0,F
4872587990,7865985459,2400,45.532,0.045531999999999996,0.15,4,0,0,F
7098334880,7865957421,2400,5172.518,5.172518,0.15,4,0,0,F
7098334880,7098334881,2400,37.093,0.03709300000000001,0.15,4,0,0,F
1759908920,1804304267,2400,1846.287,1.846287,0.15,4,0,0,F
1759908920,1804718931,2400,62.821,0.062821,0.15,4,0,0,F
1804304267,2379518824,2400,4168.356,4.168356,0.15,4,0,0,F
1804304267,1804304265,2400,49.868,0.049867999999999996,0.15,4,0,0,F
1804718931,2409220090,2400,2229.809,2.229809,0.15,4,0,0,F
1804718931,1759908920,2400,60.954,0.060954,0.15,4,0,0,F
1804304265,1804718931,2400,1854.804,1.8548040000000001,0.15,4,0,0,F
1804304265,1804304267,2400,49.809,0.049809,0.15,4,0,0,F
2379518824,631709219,2400,3681.855,3.6818549999999997,0.15,4,0,0,F
2379518824,2379518826,2400,52.174,0.052174,0.15,4,0,0,F
1804304457,7866005662,2400,3324.957,3.324957,0.15,4,0,0,F
1804304457,6657465834,2400,31.959,0.031959,0.15,4,0,0,F
1804304655,7866020391,2400,12.666,0.012666,0.15,4,0,0,F
1804304655,1804304508,2400,2403.117,2.4031170000000004,0.15,4,0,0,F
7866020391,631709251,2400,32.854,0.032854,0.15,4,0,0,F
1804304670,7865977877,2400,16.069,0.016069,0.15,4,0,0,F
7865977877,1804304655,2400,12.08,0.012079999999999999,0.15,4,0,0,F
7865977877,7866020391,2400,21.907,0.021907000000000003,0.15,4,0,0,F
7865955676,7866015820,2400,3986.22,3.98622,0.15,4,0,0,F
7865955676,7865955677,2400,73.389,0.073389,0.15,4,0,0,F
1804304773,1804304770,2400,44.322,0.044322,0.15,4,0,0,F
1804304773,1804304670,2400,535.46,0.53546,0.15,4,0,0,F
2409220090,7865962057,2400,1639.417,1.639417,0.15,4,0,0,F
2409220090,2409220065,2400,45.86,0.04586,0.15,4,0,0,F
1834496488,7865955677,2400,3982.46,3.98246,0.15,4,0,0,F
1834496488,7866015820,2400,56.293,0.056292999999999996,0.15,4,0,0,F
7865955677,1804304773,2400,3985.117,3.9851170000000002,0.15,4,0,0,F
7865955677,7865955676,2400,74.88,0.07487999999999999,0.15,4,0,0,F
7866015820,631709876,2400,26985.337,26.985337,0.15,4,0,0,F
7866015820,1834496488,2400,59.938,0.059938000000000005,0.15,4,0,0,F
2042794119,7865979698,2400,2113.057,2.1130569999999995,0.15,4,0,0,F
2042794119,4872406045,2400,44.4,0.0444,0.15,4,0,0,F
4777503145,7515770472,2400,122.633,0.12263299999999999,0.15,4,0,0,F
4777503145,7515770461,2400,90.204,0.09020399999999999,0.15,4,0,0,F
2379518826,1804304265,2400,4176.259,4.176259,0.15,4,0,0,F
2379518826,2379518824,2400,52.157,0.052156999999999995,0.15,4,0,0,F
2409220065,1759908920,2400,2248.795,2.2487950000000003,0.15,4,0,0,F
2409220065,2409220090,2400,47.162,0.047161999999999996,0.15,4,0,0,F
7865962057,7865985459,2400,2235.172,2.235172,0.15,4,0,0,F
7515770472,2415136332,2400,3959.891,3.959891,0.15,4,0,0,F
7515770461,7515770472,2400,101.949,0.101949,0.15,4,0,0,F
7865981953,7515750573,2400,4809.622,4.809622,0.15,4,0,0,F
7865981953,7865981955,2400,55.308,0.055308,0.15,4,0,0,F
7865962061,2409220065,2400,1637.338,1.637338,0.15,4,0,0,F
7865985459,7098334880,2400,1718.406,1.718406,0.15,4,0,0,F
7865985459,4872587990,2400,49.549,0.049549,0.15,4,0,0,F
7865957421,7515750568,2400,2683.253,2.6832530000000006,0.15,4,0,0,F
7865957421,7865957423,2400,54.261,0.054261000000000004,0.15,4,0,0,F
7098334881,1759908861,2400,25.309,0.025308999999999998,0.15,4,0,0,F
7515750568,7865981955,2400,4807.004,4.807004,0.15,4,0,0,F
7515750568,7515750573,2400,53.563,0.053563000000000006,0.15,4,0,0,F
7865981955,2042794119,2400,3677.811,3.677811,0.15,4,0,0,F
7865981955,7865981953,2400,51.24,0.05124,0.15,4,0,0,F
7515750573,7515750575,2400,11.716,0.011715999999999999,0.15,4,0,0,F
7515750575,7865957423,2400,2685.351,2.685351,0.15,4,0,0,F
7515750575,7515750568,2400,46.047,0.046047,0.15,4,0,0,F
7865957423,7098334881,2400,5169.42,5.169420000000001,0.15,4,0,0,F
7865957423,7865957421,2400,56.013,0.05601299999999999,0.15,4,0,0,F
7515755572,7515755576,1800,18.147,0.018147,0.15,4,0,0,A
7515755572,7515770393,2400,20.048,0.020047999999999996,0.15,4,0,0,F
7515755576,7515755584,1800,9.067,0.009067,0.15,4,0,0,A
7515770393,7515755576,2400,21.776,0.021776,0.15,4,0,0,F
7515755584,7515755579,1800,23.363,0.023363,0.15,4,0,0,A
7515755584,674646255,1800,44.671,0.044670999999999995,0.15,4,0,0,A
7515755580,7515755572,1800,33.797,0.033796999999999994,0.15,4,0,0,A
7515755580,7515770407,2400,160.198,0.160198,0.15,4,0,0,F
7515770407,7515770426,2400,418.014,0.418014,0.15,4,0,0,F
7515770426,631708660,2400,4061.264,4.0612639999999995,0.15,4,0,0,F
7865969493,626720452,2400,1371.608,1.371608,0.15,4,0,0,F
631709876,3093550794,2400,12825.066,12.825066000000001,0.15,4,0,0,F
1024906838,1024906990,2400,32.461,0.032461,0.15,4,0,0,F
1024906990,1444870332,2400,1578.04,1.5780399999999999,0.15,4,0,0,F
1024906990,4010617070,2400,31.997,0.031997,0.15,4,0,0,F
1444870332,1444870331,2400,17.715,0.017715,0.15,4,0,0,F
4010617070,1296364859,2400,39.443,0.039443,0.15,4,0,0,F
1024907007,10766470147,1800,2693.127,2.693127,0.15,4,0,0,A
10766470147,6990361948,1800,10.751,0.010750999999999998,0.15,4,0,0,A
6499032670,8954239842,1800,166.844,0.166844,0.15,4,0,0,A
1296364859,1024906838,2400,31.835,0.031835,0.15,4,0,0,F
1296364859,6990408821,2400,5224.933,5.224933,0.15,4,0,0,F
6990408821,6990408831,2400,24.732,0.024732,0.15,4,0,0,F
1444811772,7004433454,2400,22.099,0.022099,0.15,4,0,0,F
7004433454,2046702133,2400,25514.929,25.514929,0.15,4,0,0,F
7004433454,7004433450,2400,32.354,0.032354,0.15,4,0,0,F
2046702133,7004433450,2400,25513.728,25.513728,0.15,4,0,0,F
7004433450,7004433446,2400,21.174,0.021174000000000002,0.15,4,0,0,F
2046702175,2046702054,2400,1720.571,1.7205709999999999,0.15,4,0,0,F
