From,To,Demand,TT,Distance,Estimated?
127565529,5843582752,,0.219647037,45,No
127565529,1433256484,,7.499347665,6059,No
5843582752,5843582747,,0.036372882,2451,No
1433256484,2228861363,,0.132223016,168,No
1433256484,2228861367,,0.178238095,98,No
127565546,959212068,,0.515457862,106,No
127565546,5121255521,,0.337633333,198,No
959212068,959211994,,0.164187075,49,No
959212068,5121255521,,0.233660383,122,No
5121255521,6181782283,,1.539625087,1055,No
127580361,5150060397,,5.752027092,1458,No
127580361,1241604073,,0.020897619,7,No
5150060397,11255760039,,0.037805556,12,No
5150060397,602123325,,4.190071091,1243,No
1241604073,9285640574,,0.039261818,330,No
1241604073,5099498697,,5.16864544,2222,No
10879118604,10879118587,,1.148539689,472,No
130170579,6688209092,,0.117122727,88,No
130170579,1487684505,,0.165750415,201,No
6688209092,2021341652,,0.006233,5,Yes
1487684505,6183055986,,2.985311388,3947,No
130170602,2004405693,,9.133597395,13766,No
2004405693,2021341659,,3.184344726,3991,No
6183055986,10879118591,,10.91486258,15400,No
130175085,2021482166,,0.139495161,31,No
130175085,130170579,,4.968674697,6463,No
2021482166,2021482170,,0.033504,25,No
153122610,5444165047,,21.68505497,31159,No
6181782796,6731999753,,4.604301458,4114,No
1241604062,1241603956,,0.094072464,23,No
9285640557,1241603956,,0.591083333,79,No
602123325,9285640557,,0.802992593,297,No
602123334,1241604046,,3.634153861,1200,No
1241604046,5150060406,,0.13213913,46,No
602123341,1477783603,,0.91506784,71,No
1477783603,127565546,,0.832435045,331,No
1477783603,1477783609,,0.185457471,29,No
622429871,9285640575,,2.409005301,459,No
9285640575,127580361,,0.006487,1,Yes
9285640575,9285640577,,0.851448148,243,No
959211939,4204424605,,0.837492653,794,No
959211939,4204121995,,1.006435484,434,No
4204424605,4204456993,,0.972752201,159,No
4204121995,4204121885,,0.080264286,28,No
959211964,2228861368,,3.81458528,1610,No
959212213,959212204,,1.529847153,837,No
2228861368,5113493150,,0.200161722,209,No
2228861368,9909672238,,0.164439716,94,No
959211994,10799455030,,0.050215625,32,No
959211994,959212204,,0.085818367,49,No
10799455030,959211964,,1.646113789,805,No
959212204,959212168,,0.03365,16,No
959212097,5102560812,,0.033333333,3,No
5102560812,1433256283,,0.135967123,73,No
5102560812,5102560811,,0.256982143,28,No
959212117,4204121995,,0.070988235,34,No
959212117,4204424632,,0.680586054,392,No
4204424632,4203954096,,0.166520721,185,No
959212168,1477783609,,2.080836248,549,No
959212168,959212068,,0.110917917,40,No
1477783609,4204121791,,53.54452206,34,No
1241603956,1241604045,,0.022871429,7,No
1241604045,1241604101,,0.057344737,19,No
1241604045,1241646343,,0.808817266,278,No
1241603969,1241604000,,0.035023077,13,No
1241603969,9285640555,,0.07661,25,No
1241604000,1241604019,,0.080984127,42,No
9285640555,1241604000,,0.127966667,12,No
1241646506,7117266881,,0.0322375,4,No
1241604019,1241604032,,0.095109524,14,No
1241604019,1241604012,,1.038634268,214,No
1241604012,1241604062,,0.018862963,9,No
1241604032,1241603969,,0.020439583,8,No
1241604101,1241604012,,0.078612179,26,No
1241604101,1241604032,,0.499186364,220,No
1241646343,127580361,,1.165450877,285,No
5150060406,4203953827,,1.906935,300,No
5150060406,5150060410,,0.227811111,39,No
9285640574,9285640575,,0.032577778,9,No
9285640574,622429871,,1.736484747,1320,No
5099498697,4204457048,,0.017796296,9,No
1241646393,1478351765,,0.29933494,83,No
1478351765,1477783538,,4.61301185,2104,No
1241646434,1241646393,,1.18274433,776,No
7117266881,9285640578,,0.522710976,205,No
7117266881,7117266880,,0.007327,3,Yes
1242155541,5150060397,,0.04792,15,No
1242155541,11255760039,,0.169978571,28,No
11255760039,1241604046,,0.059448,25,No
1433254639,6315591160,,0.034906667,25,No
6315591160,6315592190,,0.107826667,25,No
6315591160,6799234179,,0.317048233,283,No
1433255127,1433254639,,5.489078953,7827,No
2402252481,7959547414,,1.668812565,7318,No
1433256283,5102560811,,5.093830042,638,No
5102560811,6726595523,,0.029666667,2,No
1433256309,1433256283,,0.251127193,228,No
1433256309,959212097,,0.749449728,184,No
2228861363,959212213,,2.667494312,1553,No
2228861367,2228861363,,0.219180538,161,No
1477783491,4204456992,,0.0296875,16,No
1477783491,4204457052,,4.109520161,2795,No
4204456992,4204456993,,0.032653846,13,No
4204456992,4204424592,,0.270183434,165,No
4204457052,4204457053,,0.005137,3,Yes
1477783538,4203953885,,0.099437838,37,No
1477783538,4203953825,,0.115577586,29,No
4203953885,4203954094,,0.250638715,319,No
4203953825,4203953826,,0.007887,6,Yes
4204121791,4203954109,,0.473584314,408,No
4204121791,4204121790,,0.188155556,36,No
1478011727,1477783491,,0.023301961,17,No
1478011727,1433256309,,8.404298155,2439,No
1478351777,1241646434,,0.016598611,12,No
2021341836,7959547401,,1.616786454,1768,No
11201847238,11201847256,,0.110518293,123,No
11202014615,1541472563,,1.31672587,2135,No
1541472080,11202014616,,1.350123934,2135,No
1541472563,11201847267,,0.317152899,437,No
11202014616,5843582749,,9.643213144,10168,No
11201847242,11201847263,,0.071111111,27,No
11201847267,11201847256,,0.016551587,21,No
11201847267,11201847238,,0.075447059,34,No
1860376273,10879118649,,0.097671154,52,No
1860376273,6186114186,,0.062933929,28,No
10879118649,10879118588,,2.600736183,2059,No
6186114186,6186114187,,0.031574242,22,No
1860376278,1860376273,,0.019357246,23,No
1860376278,6186109976,,0.113654398,72,No
6186109976,4204457055,,16.94701193,19576,No
2021341659,6688209099,,0.195774026,77,No
2021341659,2021341664,,0.109901389,84,No
2021341652,1487684505,,0.182979867,125,No
2021341652,6688209099,,0.019609091,22,No
6688209099,2021341656,,0.00292,4,Yes
2021341656,2021341664,,0.066842424,66,No
2021341656,6183055913,,0.026769435,6959,No
2021341664,1479391332,,5.382791043,7346,No
6183055913,6183055914,,0.016739855,23,No
7959547401,7959547411,,0.400239631,651,No
2021482170,2021482168,,0.24865,26,No
2021482168,130175085,,0.033638733,2858,No
5113493182,5113493167,,0.1038625,40,No
5113493150,6731980984,,8.402845367,5925,No
9909672238,1433256525,,0.033201149,29,No
9909672238,9909672237,,0.104393077,65,No
2229108913,10567634794,,0.323018265,73,No
2229108913,5108575992,,0.094622995,3621,No
10567634794,10567634788,,0.396274212,6377,No
10567634794,10570230642,,1.417734342,958,No
5108575992,10567634794,,0.148153571,42,No
5108575992,6732029799,,0.162906897,29,No
2296998101,2296999830,,17.19913451,25696,No
2296999830,2296999891,,0.233286924,362,No
7959547414,7959547421,,0.383677734,640,No
4203953826,5150060410,,0.95938125,304,No
4203953826,4203953827,,0.130942546,474,No
5150060410,5150060401,,0.146397115,52,No
4203953827,4203953833,,0.188684375,48,No
4203953827,4203953877,,0.227372951,61,No
4203953833,1478351777,,3.745075844,2092,No
4203953833,1477783538,,0.097327273,33,No
4203953877,4203954102,,0.774296617,2404,No
4203953869,4203953833,,0.177323577,41,No
4203953869,4203953877,,0.247389691,194,No
4203954102,4204121790,,1.591106103,426,No
4203953878,4203953885,,0.173062745,51,No
4203953878,4203953825,,0.366078125,32,No
4203954094,959211939,,0.115944571,132,No
4203954096,4203953878,,0.820067973,2527,No
4203954096,4203954102,,0.716102889,750,No
4204121790,1477783603,,0.15234617,483,No
4203954109,4203954094,,0.65004025,759,No
4203954109,4203953869,,0.734153545,3070,No
4204121885,4204121989,,0.489907407,36,No
4204121885,4204424612,,0.085502315,36,No
4204121989,959212117,,0.095531264,725,No
4204424612,4204424605,,0.566723656,3217,No
4204424592,4204424632,,0.650841228,741,No
4204424592,4204424606,,0.588312351,2823,No
4204424606,4204121989,,0.222822727,44,No
4204424606,4204424612,,0.161182456,57,No
4204456993,1478011727,,0.031839583,16,No
4204457048,4204456992,,5.458447019,2264,No
4204457048,4204457052,,0.060061765,17,No
4204457053,4204457055,,0.107695,10,No
4204457053,6186109977,,16.75583486,19595,No
4204457055,4204457060,,0.093466667,20,No
6186109977,1860376273,,0.165066239,78,No
6186109977,10879118649,,0.269718421,114,No
4204457060,5099498697,,0.05581,15,No
4204457060,9285640574,,6.139907268,2229,No
4206306349,10567634789,,0.09727907,43,No
4206306349,6732029802,,0.141622222,42,No
10567634789,6732027396,,1.840948806,1005,No
6732029802,5108575992,,0.034633333,20,No
6732029802,2229108913,,0.152286885,61,No
6726595523,5102562227,,0.086896,25,No
6726595523,10567634775,,1.130496398,782,No
5102560814,1477783491,,4.134024054,2633,No
5102560814,959212097,,0.123460784,34,No
5102562227,5102560814,,0.017635294,17,No
6732029799,4206306349,,0.058890909,22,No
6731980984,5843582752,,0.047576923,26,No
6731980984,6731990088,,0.134098413,84,No
5113493159,5113493150,,0.223243832,2024,No
6181782283,6181782284,,0.034120833,24,No
5150060401,1242155541,,0.036,14,No
5150060401,1241604073,,4.689654397,1467,No
5843582747,5843582749,,0.128407692,26,No
5843582747,6731968529,,0.065834043,47,No
5843582749,127565529,,0.112015909,22,No
6731968529,11202014615,,7.935786508,9996,No
6181782284,6731999753,,0.046798,1200,No
6181782284,153122610,,4.434980863,4109,No
6731999753,6181782695,,0.035105747,29,No
6181782695,6181782283,,0.049112,25,No
6181782695,6787301532,,1.719568614,1121,No
6787301532,959211994,,0.22257561,205,No
6787301532,10799455030,,0.218158233,83,No
6183055914,2021482166,,4.73115803,6530,No
6183055914,6688209092,,0.102773039,34,No
10879118591,10879118587,,0.016030556,12,No
10879118591,10879118604,,1.313195175,487,No
6186114187,1860376341,,24.61191953,43695,No
6186114187,1860376278,,0.135395833,28,No
1860376341,10879118650,,22.20394684,31538,No
6315592190,6315592193,,0.02334229,5322,No
6799234179,10567634790,,7.309293748,5593,No
6799234179,5102562227,,7.569862389,6857,No
6315592193,1433254639,,0.547461261,37,No
6315592193,1433255127,,4.759218404,4307,No
10567634775,10567634788,,0.782953946,925,No
10567634775,10567634795,,0.596927279,6519,No
6731968533,6731968529,,0.178060131,51,No
10567634790,6732029799,,0.313069565,46,No
10567634790,10567634794,,0.140592593,63,No
7117266880,1241646506,,0.021807143,7,No
9285640578,1241646343,,0.0163625,8,No
9285640578,1241604101,,0.871626433,285,No
7959547411,2402252481,,1.51620466,2078,No
7959547421,6183055913,,6.882125351,9214,No
9285640577,9285640578,,0.081736111,42,No
9285640577,7117266880,,0.663219481,77,No
9909672239,5113493182,,0.115460993,141,No
10567634788,10570230643,,0.43360709,630,No
10567634795,6732029802,,0.278155172,58,No
10567634795,10567634789,,0.170552083,64,No
10570230643,6315592190,,5.315360286,4900,No
10570230642,7049446155,,6.157928986,5317,No
10879118587,10879118588,,0.031152778,12,No
10879118587,6186114186,,2.373575171,2101,No
10879118588,10879118592,,0.0713,16,No
10879118592,10879118591,,0.011173,5,Yes
10879118592,130170601,,2.174917248,1576,No
10879118650,1860376278,,0.082338983,59,No
10879118650,6186109976,,0.218649346,102,No
11201847256,2296998101,,12.55323781,18954,No
11201847256,11201847260,,0.025726309,10098,No
11201847263,1541472080,,0.333366743,439,No
11201847263,11201847267,,0.026865714,5407,No
11201847260,11201847263,,0.016412037,18,No
11201847260,11201847242,,0.050254321,27,No
11255610951,602123325,,0.218236631,561,No
127589864,2020654951,,19.993964,28330,No
1492309658,1492302144,,1.917083863,1919,No
2020654951,2020654947,,0.08569697,77,No
2020654951,9671602643,,0.130963502,79,No
127589874,1492272447,,0.226392544,114,No
127589874,1492272446,,0.347743378,375,No
1492272447,1495831556,,2.460539879,1701,No
1492272446,1492272461,,0.150863571,70,No
1492272446,1492272438,,0.45476092,58,No
1492272446,1492272447,,0.177653968,63,No
1493515060,2355299086,,7.468164552,10169,No
129461885,9671602634,,0.032951613,31,No
129461885,9671602635,,0.017698827,10102,No
9671602634,1492309658,,20.62791135,28408,No
9671602635,9671602634,,0.011095,20,No
9671602635,2020654947,,0.294746667,30,No
129467406,9671581595,,0.116577222,90,No
9671581595,2020654945,,0.265306397,99,No
9671581595,9671602638,,0.12193125,48,No
602123367,2752279703,,0.085749142,4371,No
602123367,1494577462,,0.050015789,38,No
2752279703,2752268255,,3.996020338,2951,No
1494577462,2752284875,,0.116471007,96,No
1494577462,2752284878,,0.029233594,3778,No
1492302145,127589864,,1.984512557,1914,No
1489655593,2752279703,,0.14311167,537,No
1489655593,602123367,,0.051125,34,No
1491838720,1491838812,,0.167829096,118,No
2748984336,1495817703,,0.048176667,5,No
2748984336,1495831557,,1.913408333,1080,No
1491838812,1491838813,,0.038964103,13,No
1491838791,1491838812,,0.035948137,331,No
1491838791,1491838720,,0.167485119,112,No
1491838793,1491838791,,0.044679412,17,No
1495831557,1492272452,,2.415871579,1693,No
1491838813,1491838793,,0.036185714,14,No
1491838859,1491838965,,0.885170315,603,No
1493769210,2756052487,,0.305513077,130,No
1491838962,1491838859,,0.976706199,742,No
1492272438,2355258729,,1.537995899,1593,No
2355258729,2355258727,,0.044961111,36,No
1492272461,1495063404,,4.865795196,4663,No
1495831556,1495817703,,1.881476157,1080,No
1492272451,1492272446,,0.107535714,56,No
1492272451,1492272438,,0.119132576,44,No
1492272452,1492272446,,0.58033945,109,No
1492272452,1492272461,,0.39826303,110,No
1495063404,1494507931,,0.321772222,12,No
1495063404,1493769210,,2.731004522,1946,No
1492285978,2355258726,,0.050466279,43,No
1492285978,1492285995,,0.144632329,83,No
2355258726,1492285995,,0.087905417,40,No
2355258726,2355258729,,0.036403704,27,No
1492285995,127589874,,1.428641063,1561,No
1492302144,2355258724,,1.193126975,1101,No
2355258724,1493367815,,2.487715551,2167,No
2355258724,2355258726,,0.045922549,918,No
1493367815,1492285978,,2.876862269,2149,No
1493114319,1493114333,,0.020499,7,Yes
1493114319,1493114436,,0.270066087,115,No
1493114333,1493114319,,0.020491,7,Yes
1493114333,1493149111,,4.33380663,3122,No
1493114436,1493114445,,0.014557985,2108,No
1493114436,1860378568,,15.53121011,21421,No
1493149111,1493149116,,0.053301351,37,No
1493149111,6665790211,,1.721330785,994,No
1493114435,1493114436,,0.033981395,43,No
