,gridID_lat,gridID_lon,inner_grid_lat,inner_grid_lon,lat_min,lat_max,lon_min,lon_max,lane_capacity_total
0,0,0,0,0,38.2524848,38.42635104090909,43.0082382,43.238030046875,141800.0
1,0,0,1,0,38.42635104090909,38.60021728181818,43.0082382,43.238030046875,0.0
2,0,0,0,1,38.2524848,38.42635104090909,43.238030046875,43.46782189375,152200.0
3,0,0,1,1,38.42635104090909,38.60021728181818,43.238030046875,43.46782189375,855800.0
4,1,0,None,None,38.60021728181818,38.94794976363636,43.0082382,43.46782189375,144800.0
5,2,0,None,None,38.94794976363636,39.29568224545454,43.0082382,43.46782189375,561400.0
6,3,0,None,None,39.29568224545454,39.64341472727273,43.0082382,43.46782189375,0.0
7,4,0,None,None,39.64341472727273,39.99114720909091,43.0082382,43.46782189375,179000.0
8,5,0,None,None,39.99114720909091,40.33887969090909,43.0082382,43.46782189375,141200.0
9,6,0,None,None,40.33887969090909,40.68661217272727,43.0082382,43.46782189375,422800.0
10,7,0,None,None,40.68661217272727,41.03434465454546,43.0082382,43.46782189375,175600.0
11,8,0,None,None,41.03434465454546,41.38207713636364,43.0082382,43.46782189375,59200.0
12,9,0,None,None,41.38207713636364,41.72980961818182,43.0082382,43.46782189375,62000.0
13,10,0,None,None,41.72980961818182,42.0775421,43.0082382,43.46782189375,36400.0
14,0,1,None,None,38.2524848,38.60021728181818,43.46782189375,43.927405587500004,8400.0
15,1,1,None,None,38.60021728181818,38.94794976363636,43.46782189375,43.927405587500004,26200.0
16,2,1,None,None,38.94794976363636,39.29568224545454,43.46782189375,43.927405587500004,124800.0
17,3,1,None,None,39.29568224545454,39.64341472727273,43.46782189375,43.927405587500004,100600.0
18,4,1,None,None,39.64341472727273,39.99114720909091,43.46782189375,43.927405587500004,77400.0
19,5,1,None,None,39.99114720909091,40.33887969090909,43.46782189375,43.927405587500004,397600.0
20,6,1,None,None,40.33887969090909,40.68661217272727,43.46782189375,43.927405587500004,331800.0
21,7,1,None,None,40.68661217272727,41.03434465454546,43.46782189375,43.927405587500004,586000.0
22,8,1,None,None,41.03434465454546,41.38207713636364,43.46782189375,43.927405587500004,41600.0
23,9,1,None,None,41.38207713636364,41.72980961818182,43.46782189375,43.927405587500004,141600.0
24,10,1,0,0,41.72980961818182,41.90367585909091,43.46782189375,43.697613740625,39200.0
25,10,1,1,0,41.90367585909091,42.0775421,43.46782189375,43.697613740625,348200.0
26,10,1,0,1,41.72980961818182,41.90367585909091,43.697613740625,43.927405587500004,1400.0
27,10,1,1,1,41.90367585909091,42.0775421,43.697613740625,43.927405587500004,496800.0
28,0,2,None,None,38.2524848,38.60021728181818,43.927405587500004,44.38698928125,17400.0
29,1,2,None,None,38.60021728181818,38.94794976363636,43.927405587500004,44.38698928125,45000.0
30,2,2,None,None,38.94794976363636,39.29568224545454,43.927405587500004,44.38698928125,266200.0
31,3,2,None,None,39.29568224545454,39.64341472727273,43.927405587500004,44.38698928125,443000.0
32,4,2,None,None,39.64341472727273,39.99114720909091,43.927405587500004,44.38698928125,295400.0
33,5,2,0,0,39.99114720909091,40.165013450000004,43.927405587500004,44.15719743437501,472400.0
34,5,2,1,0,40.165013450000004,40.33887969090909,43.927405587500004,44.15719743437501,0.0
35,5,2,0,1,39.99114720909091,40.165013450000004,44.15719743437501,44.38698928125,550000.0
36,5,2,1,1,40.165013450000004,40.33887969090909,44.15719743437501,44.38698928125,957000.0
37,6,2,None,None,40.33887969090909,40.68661217272727,43.927405587500004,44.38698928125,129200.0
38,7,2,None,None,40.68661217272727,41.03434465454546,43.927405587500004,44.38698928125,208600.0
39,8,2,None,None,41.03434465454546,41.38207713636364,43.927405587500004,44.38698928125,98800.0
40,9,2,None,None,41.38207713636364,41.72980961818182,43.927405587500004,44.38698928125,14200.0
41,10,2,0,0,41.72980961818182,41.90367585909091,43.927405587500004,44.15719743437501,0.0
42,10,2,1,0,41.90367585909091,42.0775421,43.927405587500004,44.15719743437501,938600.0
43,10,2,0,1,41.72980961818182,41.90367585909091,44.15719743437501,44.38698928125,5600.0
44,10,2,1,1,41.90367585909091,42.0775421,44.15719743437501,44.38698928125,387400.0
45,0,3,None,None,38.2524848,38.60021728181818,44.38698928125,44.846572975,95000.0
46,1,3,None,None,38.60021728181818,38.94794976363636,44.38698928125,44.846572975,0.0
47,2,3,None,None,38.94794976363636,39.29568224545454,44.38698928125,44.846572975,872800.0
48,3,3,None,None,39.29568224545454,39.64341472727273,44.38698928125,44.846572975,380000.0
49,4,3,0,0,39.64341472727273,39.81728096818182,44.38698928125,44.616781128125,0.0
50,4,3,1,0,39.81728096818182,39.99114720909091,44.38698928125,44.616781128125,565200.0
51,4,3,0,1,39.64341472727273,39.81728096818182,44.616781128125,44.846572975,97200.0
52,4,3,1,1,39.81728096818182,39.99114720909091,44.616781128125,44.846572975,333400.0
53,5,3,0,0,39.99114720909091,40.10705803636364,44.38698928125,44.54018384583333,472200.0
54,5,3,1,0,40.10705803636364,40.22296886363636,44.38698928125,44.54018384583333,4424300.0
55,5,3,2,0,40.22296886363636,40.33887969090909,44.38698928125,44.54018384583333,218200.0
56,5,3,0,1,39.99114720909091,40.10705803636364,44.54018384583333,44.69337841041667,66000.0
57,5,3,1,1,40.10705803636364,40.22296886363636,44.54018384583333,44.69337841041667,566900.0
58,5,3,2,1,40.22296886363636,40.33887969090909,44.54018384583333,44.69337841041667,735800.0
59,5,3,0,2,39.99114720909091,40.10705803636364,44.69337841041667,44.846572975,0.0
60,5,3,1,2,40.10705803636364,40.22296886363636,44.69337841041667,44.846572975,6800.0
61,5,3,2,2,40.22296886363636,40.33887969090909,44.69337841041667,44.846572975,0.0
62,6,3,None,None,40.33887969090909,40.68661217272727,44.38698928125,44.846572975,537400.0
63,7,3,None,None,40.68661217272727,41.03434465454546,44.38698928125,44.846572975,397800.0
64,8,3,None,None,41.03434465454546,41.38207713636364,44.38698928125,44.846572975,182800.0
65,9,3,0,0,41.38207713636364,41.49798796363637,44.38698928125,44.54018384583333,28800.0
66,9,3,1,0,41.49798796363637,41.61389879090909,44.38698928125,44.54018384583333,42000.0
67,9,3,2,0,41.61389879090909,41.72980961818182,44.38698928125,44.54018384583333,4200.0
68,9,3,0,1,41.38207713636364,41.49798796363637,44.54018384583333,44.69337841041667,63800.0
69,9,3,1,1,41.49798796363637,41.61389879090909,44.54018384583333,44.69337841041667,20600.0
70,9,3,2,1,41.61389879090909,41.72980961818182,44.54018384583333,44.69337841041667,4200.0
71,9,3,0,2,41.38207713636364,41.49798796363637,44.69337841041667,44.846572975,273200.0
72,9,3,1,2,41.49798796363637,41.61389879090909,44.69337841041667,44.846572975,42600.0
73,9,3,2,2,41.61389879090909,41.72980961818182,44.69337841041667,44.846572975,3307000.0
74,10,3,0,0,41.72980961818182,41.845720445454546,44.38698928125,44.54018384583333,0.0
75,10,3,1,0,41.845720445454546,41.961631272727274,44.38698928125,44.54018384583333,202000.0
76,10,3,2,0,41.961631272727274,42.0775421,44.38698928125,44.54018384583333,197200.0
77,10,3,0,1,41.72980961818182,41.845720445454546,44.54018384583333,44.69337841041667,4200.0
78,10,3,1,1,41.845720445454546,41.961631272727274,44.54018384583333,44.69337841041667,406800.0
79,10,3,2,1,41.961631272727274,42.0775421,44.54018384583333,44.69337841041667,0.0
80,10,3,0,2,41.72980961818182,41.845720445454546,44.69337841041667,44.846572975,2216000.0
81,10,3,1,2,41.845720445454546,41.961631272727274,44.69337841041667,44.846572975,410800.0
82,10,3,2,2,41.961631272727274,42.0775421,44.69337841041667,44.846572975,7200.0
83,0,4,0,0,38.2524848,38.368395627272726,44.846572975,44.99976753958333,0.0
84,0,4,1,0,38.368395627272726,38.484306454545454,44.846572975,44.99976753958333,125600.0
