from,to,volume,EstimatedTT,length,CO2,lengthm
1849702071,6344820621,0,3.00252,50.042,0,0.031094648
1849702071,1849702080,0,4.6257,77.095,0,0.047904597
6344820621,135233327,0,3.24774,54.129,0,0.033634191
6344820621,6344820622,0,1.63764,27.294,0,0.0169597
1849702072,1849702071,0,3.8076,63.46,0,0.039432204
1849702072,1849702080,0,5.75784,95.964,0,0.059629247
3577738501,3577738509,0,2.08752,34.792,0,0.02161874
3577738509,3577738533,0,2.45814,40.969,0,0.025456948
3577738509,1849702072,0,1755.39372,29256.562,0,18.17917919
3577738533,3577738536,0,0.62928,10.488,0,0.006516939
3577738536,3577738501,0,1.90926,31.821,0,0.019772647
3577738536,7255005662,0,720.54636,12009.106,0,7.462110204
7255005662,7255005653,0,13.80726,230.121,0,0.142990516
7255005662,7255005664,0,1.22376,20.396,0,0.012673483
6344820617,1849702071,0,1.7562,29.27,0,0.018187529
6344820617,3577738533,0,1759.37406,29322.901,0,18.22040032
6344820618,6344820621,0,2.80068,46.678,0,0.029004356
6344820618,135233327,0,5.48538,91.423,0,0.056807601
6344820622,6344820617,0,1.05994284,41.22,0,0.025612913
7255005540,7255005569,0,126.77292,2112.882,0,1.312883601
7255005540,7255005552,0,2.2827,38.045,0,0.02364006
7255005569,7255005585,0,12.1296,202.16,0,0.125616361
7255005569,7255005572,0,1.62906,27.151,0,0.016870844
7255005552,7255005545,0,0.9993,16.655,0,0.010348934
7255005545,8074831382,0,719.50056,11991.676,0,7.451279708
7255005545,7255005557,0,2.42724,40.454,0,0.025136942
8074831382,8074831375,0,0.95472,15.912,0,0.009887255
7255005557,7255005540,0,0.6726,11.21,0,0.006965569
7255005585,7255005594,0,5.54976,92.496,0,0.057474332
7255005572,7255005581,0,6.8457,114.095,0,0.070895324
7255005581,7255005552,0,122.21694,2036.949,0,1.265701037
7255005582,7255005585,0,1.974,32.9,0,0.020443106
7255005582,7255005572,0,12.5607,209.345,0,0.130080912
7255005594,7255005610,0,124.11096,2068.516,0,1.285315855
7255005610,7255005611,0,0.98136,16.356,0,0.010163144
7255005611,7255005651,0,166.72326,2778.721,0,1.726616646
7255005611,7255005624,0,2.28318,38.053,0,0.023645031
7255005651,7255005664,0,13.63092,227.182,0,0.141164307
7255005651,7255005653,0,1.14588,19.098,0,0.011866943
7255005624,7255005616,0,0.65436,10.906,0,0.006776672
7255005616,7255005582,0,129.2745,2154.575,0,1.338790422
7255005616,7255005610,0,2.2938,38.23,0,0.023755013
7255005664,7255005672,0,6.22746,103.791,0,0.064492717
7255005653,7255005661,0,6.43128,107.188,0,0.066603515
7255005661,7255005624,0,159.80562,2663.427,0,1.654976298
7255005672,3577738501,0,713.86164,11897.694,0,7.392882018
626720452,7515770427,0,273.12642,4552.107,0,2.828547279
626720452,2415136332,0,2.8482,47.47,0,0.029496481
7515770427,7515770426,0,43.80018,730.003,0,0.453602694
7515770427,674646255,0,13.59876,226.646,0,0.140831252
2415136332,7865969494,0,82.79724,1379.954,0,0.857463397
2415136332,626720452,0,2.9313,48.855,0,0.03035708
631708660,631708707,0,133.7079,2228.465,0,1.384703526
631708660,2042794283,0,3.23148,53.858,0,0.033465799
631708707,4872406045,0,126.90582,2115.097,0,1.314259938
631708707,7865979698,0,3.5586,59.31,0,0.036853514
2042794283,4777503145,0,315.79362,5263.227,0,3.270416624
2042794283,631708660,0,3.1152,51.92,0,0.032261582
4872406045,7865981953,0,220.78674,3679.779,0,2.286507957
4872406045,2042794119,0,2.76726,46.121,0,0.028658252
7865979698,2042794283,0,133.66164,2227.694,0,1.384224448
7865979698,631708707,0,3.3252,55.42,0,0.034436381
631709219,6657465834,488.383277,199.7716195,3325.964,328033.3502,2.066657577
631709219,7866005662,0,2.99898,49.983,0,0.031057987
6657465834,631709236,488.383277,1.398957051,23.291,2297.145958,0.014472352
7866005662,2379518826,75.27468038,220.8414735,3680.689,55944.05346,2.287073405
7866005662,631709219,0,3.39036,56.506,0,0.03511119
631709236,631709251,488.383277,144.9402033,2413.085,237997.8728,1.49942104
631709236,1804304508,0,1.95846,32.641,0,0.020282171
631709251,1804304770,488.383277,33.27783126,554.037,54643.59003,0.344262525
631709251,7865977882,0,1.77804,29.634,0,0.018413708
1804304508,1804304457,75.27468038,1.434540867,23.909,363.4010845,0.014856359
1804304770,7865955676,488.383277,238.7390994,3974.727,392019.5811,2.469780091
1804304770,1804304773,0,2.65596,44.266,0,0.027505609
7865977882,1804304670,0,0.8028,13.38,0,0.008313944
7865977882,7865977877,0,1.4217,23.695,0,0.014723386
674646255,7515755579,0,3.03324,50.554,0,0.03141279
7515770408,7515770407,0,12.13038,202.173,0,0.125624439
7515755579,7515755580,0,0.29256,4.876,0,0.003029805
1759908861,4872587990,0,102.11898,1701.983,0,1.057562879
1759908861,7098334880,0,2.50266,41.711,0,0.025918006
4872587990,7865962061,0,134.95446,2249.241,0,1.397613129
4872587990,7865985459,0,2.73192,45.532,0,0.028292264
7098334880,7865957421,0,310.35108,5172.518,0,3.214052682
7098334880,7098334881,0,2.22558,37.093,0,0.023048515
1759908920,1804304267,488.383277,110.8958919,1846.287,182095.6902,1.147229199
1759908920,1804718931,0,3.76926,62.821,0,0.039035148
1804304267,2379518824,488.383277,250.3692851,4168.356,411116.8322,2.590095536
1804304267,1804304265,0,2.99208,49.868,0,0.030986529
1804718931,2409220090,0,133.78854,2229.809,0,1.385538648
1804718931,1759908920,488.383277,3.661157876,60.954,6011.774279,0.037875048
1804304265,1804718931,75.27468038,111.2883073,1854.804,28191.80163,1.152521416
1804304265,1804304267,0,2.98854,49.809,0,0.030949868
2379518824,631709219,488.383277,221.1479547,3681.855,363134.1863,2.287797923
2379518824,2379518826,0,3.13044,52.174,0,0.032419411
1804304457,7866005662,75.27468038,199.4975406,3324.957,50537.16089,2.066031856
1804304457,6657465834,0,1.91754,31.959,0,0.019858396
1804304655,7866020391,0,0.75996,12.666,0,0.007870285
1804304655,1804304508,75.27468038,144.1871072,2403.117,36525.79882,1.493227213
7866020391,631709251,0,1.97124,32.854,0,0.020414523
1804304670,7865977877,75.27468038,0.964140583,16.069,244.2382378,0.009984811
7865977877,1804304655,75.27468038,0.724800438,12.08,183.6080598,0.007506162
7865977877,7866020391,0,1.31442,21.907,0,0.013612374
7865955676,7866015820,488.383277,239.4294181,3986.22,393153.1133,2.476921508
7865955676,7865955677,0,4.40334,73.389,0,0.045601796
1804304773,1804304770,0,2.65932,44.322,0,0.027540405
1804304773,1804304670,75.27468038,32.12761942,535.46,8138.640039,0.332719316
2409220090,7865962057,0,98.36502,1639.417,0,1.018686181
2409220090,2409220065,0,2.7516,45.86,0,0.028496074
1834496488,7865955677,75.27468038,238.9477445,3982.46,60530.77431,2.474585153
1834496488,7866015820,0.269801088,3.37758,56.293,3.066718703,0.034978838
7865955677,1804304773,75.27468038,239.1071646,3985.117,60571.15896,2.476236135
7865955677,7865955676,0,4.4928,74.88,0,0.04652826
7866015820,631709876,488.6530781,1620.858564,26985.337,2662982.406,16.76790584
7866015820,1834496488,0,3.59628,59.938,0,0.037243735
2042794119,7865979698,0,126.78342,2113.057,0,1.312992341
2042794119,4872406045,0,2.664,44.4,0,0.027588872
4777503145,7515770472,0,7.35798,122.633,0,0.07620059
4777503145,7515770461,0,5.41224,90.204,0,0.05605015
2379518826,1804304265,75.27468038,250.5756915,4176.259,63476.39172,2.595006231
2379518826,2379518824,0,3.12942,52.157,0,0.032408847
2409220065,1759908920,0,134.9277,2248.795,0,1.397335998
2409220065,2409220090,0,2.82972,47.162,0,0.029305099
7865962057,7865985459,0,134.11032,2235.172,0,1.388871061
7515770472,2415136332,0,237.59346,3959.891,0,2.460561431
7515770461,7515770472,0,6.11694,101.949,0,0.063348152
7865981953,7515750573,0,288.57732,4809.622,0,2.988559632
7865981953,7865981955,0,3.31848,55.308,0,0.034366787
7865962061,2409220065,0,98.24028,1637.338,0,1.01739435
7865985459,7098334880,0,103.10436,1718.406,0,1.067767655
7865985459,4872587990,0,2.97294,49.549,0,0.030788312
7865957421,7515750568,0,160.99518,2683.253,0,1.6672956
7865957421,7865957423,0,3.25566,54.261,0,0.033716212
7098334881,1759908861,0,1.51854,25.309,0,0.015726279
7515750568,7865981955,0,288.42024,4807.004,0,2.986932882
7515750568,7515750573,0,3.21378,53.563,0,0.033282495
7865981955,2042794119,0,220.66866,3677.811,0,2.285285099
7865981955,7865981953,0,3.0744,51.24,0,0.03183905
7515750573,7515750575,0,0.70296,11.716,0,0.007279983
7515750575,7865957423,0,161.12106,2685.351,0,1.668599236
7515750575,7515750568,0,2.76282,46.047,0,0.02861227
7865957423,7098334881,0,310.1652,5169.42,0,3.212127675
7865957423,7865957421,0,3.36078,56.013,0,0.034804854
7515755572,7515755576,0,1.08882,18.147,0,0.01127602
7515755572,7515770393,0,1.20288,20.048,0,0.012457246
7515755576,7515755584,0,0.54402,9.067,0,0.005633971
7515770393,7515755576,0,1.30656,21.776,0,0.013530975
7515755584,7515755579,0,1.40178,23.363,0,0.014517091
7515755584,674646255,0,2.68026,44.671,0,0.027757264
7515755580,7515755572,0,2.02782,33.797,0,0.021000476
7515755580,7515770407,0,9.61188,160.198,0,0.099542391
7515770407,7515770426,0,25.08084,418.014,0,0.259741777
7515770426,631708660,0,243.67584,4061.264,0,2.523551673
7865969493,626720452,0,82.29648,1371.608,0,0.852277435
631709876,3093550794,553.401468,770.8629812,12825.066,1433445.477,7.969124085
1024906838,1024906990,624.2250949,1.953228422,32.461,4093.07893,0.020170324
1024906990,1444870332,624.2250949,94.95310002,1578.04,198978.5365,0.980548293
1024906990,4010617070,0,1.91982,31.997,0,0.019882008
1444870332,1444870331,624.2250949,1.065938865,17.715,2233.723337,0.011007587
4010617070,1296364859,639.0075917,2.374010181,39.443,5091.431413,0.024508736
1024907007,10766470147,0,161.58762,2693.127,0,1.673431017
10766470147,6990361948,0,0.64506,10.751,0,0.00668036
6499032670,8954239842,284.2897662,10.01784946,166.844,9578.346279,0.103672023
1296364859,1024906838,0,1.9101,31.835,0,0.019781346
1296364859,6990408821,639.0075917,314.4802408,5224.933,674451.4364,3.246621843
6990408821,6990408831,639.0075917,1.488578957,24.732,3192.48743,0.015367748
1444811772,7004433454,639.0075917,1.330102958,22.099,2852.611181,0.013731678
7004433454,2046702133,639.0075917,1535.702183,25514.929,3293550.466,15.85423695
7004433454,7004433450,0,1.94124,32.354,0,0.020103837
2046702133,7004433450,624.2250949,1535.200354,25513.728,3217082.114,15.85349068
7004433450,7004433446,624.2250949,1.274072229,21.174,2669.87626,0.01315691
2046702175,2046702054,0,103.23426,1720.571,0,1.069112923
5851236580,6990408826,624.2250949,59.31487968,985.763,124297.0261,0.612524541
5851236580,5851236582,0,2.86218,47.703,0,0.029641261
6990408826,6990408825,624.2250949,1.222565389,20.318,2561.941336,0.012625016
5851236582,1444811772,639.0075917,126.2901431,2098.248,270848.7128,1.303790458
5851236582,5851236580,0,3.00384,50.064,0,0.031108318
8954239842,8954239845,81.95345965,1.106765505,18.446,305.2429504,0.011461809
6990361553,6990362012,0,94.46442,1574.407,0,0.978290852
6990362012,10766470147,0,1.94706,32.451,0,0.02016411
6990362012,1024907007,0,162.66246,2711.041,0,1.684562257
6990361948,6990362012,0,2.59482,43.247,0,0.026872432
6990361948,6990361553,0,94.60938,1576.823,0,0.979792084
6990408831,5851236582,639.0075917,60.14558375,999.289,128991.4917,0.620929205
6990408831,6990408826,0,2.31762,38.627,0,0.024001698
6990408825,1024906838,624.2250949,315.1431557,5237.412,660396.8056,3.254375932
6990408825,6990408821,0,2.16024,36.004,0,0.022371841
7004433446,5851236580,624.2250949,126.7023133,2105.685,265510.4558,1.308411594
7004433446,1444811772,0,2.05902,34.317,0,0.021323589
2046702054,2046702175,0,102.84948,1714.158,0,1.065128071
611074863,611074864,0,1.40844,23.474,0,0.014586063
611074864,4923102849,0,144.2286,2403.81,0,1.493657824
