fishnetid,CO2,CO2psqkm
0,1116328.071,445.8521271
2,71728953.52,28647.94619
4,21760105.38,8690.804723
6,68913936.2,27523.65173
8,6284755.381,2510.078916
10,1214261.852,484.9660628
13,13523890.88,21605.29025
15,20329897.61,32576.5609
16,20420329.69,32721.46896
18,67157457.67,26822.12885
20,105947227.5,169257.5473
22,106692851.8,170448.7304
24,49932455.67,80011.60233
26,37620127.55,15025.16538
28,12676381.43,5062.841089
30,31930539.01,12752.79114
32,31800741.42,114308.3907
34,2879847.52,10372.50388
36,83708340.25,301496.8944
38,36679080.94,132376.3507
40,111579607.9,402695.5127
44,10623889.47,16972.35046
46,51192835.07,82031.23013
49,60243356.31,24207.04232
51,71146366.95,28588.10035
53,61620974.29,24760.59807
55,11463963.28,4606.460549
57,34646344.81,13921.62699
59,89889558.03,36119.50709
61,21095268.89,8476.520864
63,11410079.23,18339.21192
65,15003903.52,24115.50006
67,19154113.33,30880.65204
69,32820228.34,13187.85514
71,57196379.72,22982.70331
72,21932283.59,8812.850902
74,68258480.69,27427.68717
76,29483157.98,11846.95038
78,296458.5613,119.123259
80,7473149.029,3021.42294
82,26918316.3,10883.17897
84,66532731.75,26899.43974
86,8110792.53,3279.224664
89,82051502.82,33173.73866
91,62946133.32,25449.36418
93,58967504.7,23840.7893
96,14198921.84,5740.678795
98,14325638.38,5791.910781
100,8833519.541,3571.425978
102,87249393.15,35275.26575
104,5350525.368,2163.238017
106,13895261.66,5653.171647
108,19671217.17,8003.071114
110,6087655.664,2476.712079
112,7624524.253,3101.974284
114,83097940.2,33807.70589
116,83076860.11,33799.12964
119,29028629.95,11810.05668
121,117418868.7,47770.89025
123,117408286.8,47766.58506
125,66549356.66,27075.05231
127,35404732.33,14404.12091
129,29013951.23,11804.08477
131,50512477.9,20550.58155
133,68677270.22,27940.77624
135,1904253.169,774.7295654
138,25153154.5,10298.60145
140,514764.598,210.763045
143,31586656.91,116394.1821
147,5873520.071,2404.829275
149,24391167.57,9986.616734
151,5838652.302,2390.553162
153,15582007.87,6379.831554
155,12799034.83,47163.37013
157,5121225.557,18871.28676
160,3818670.81,14101.63749
162,15619866.6,57681.24757
164,8031746.292,29659.73771
166,6265689.916,23187.86551
168,14096542.58,52168.03543
170,6356809.685,23424.31067
172,6917435.194,25490.16866
174,29492927.5,108911.8682
177,32301537.99,119540.5021
179,41390473.17,16946.74069
181,20181233.08,8262.918917
183,32981432.44,13503.77853
185,3488095.882,1428.15126
187,4613333.533,1888.863816
189,4447000.1,1820.760957
191,22736.21459,9.309019769
193,724589.665,296.672935
195,463549.3581,189.7936932
197,1416666.097,583.7904382
199,1916654.096,789.8292595
