fishnetid,CO2,fishnetid,CO2psqkm
0,559406.980527417,0,223.42248545037407
10,75118945.82430896,2,30001.880857216725
100,46089283.40198351,4,18407.675643570255
102,82911918.08925694,6,33114.3290265959
104,6890943.159540103,8,2752.185262954955
106,2038686.6513546729,10,814.2344564072301
108,22547988.049778905,13,36021.86904457222
110,34431485.34289673,15,55172.89858938152
112,27854121.678857602,16,44633.35274035396
114,72279407.69107337,18,28867.792993922118
116,122721209.41418424,20,196055.0681839088
119,109815406.86808117,22,175437.21402305888
121,70910231.1963475,24,113626.32067084819
123,68416836.60128476,26,27325.11429460402
125,43518626.05809797,28,17380.976526461363
127,66531935.96133688,30,26572.30068936931
129,36022564.93503344,32,129483.81832948298
13,2090596.699201392,34,7529.816149648317
131,122413717.68638843,36,440904.1632590193
133,51449278.625920914,38,185682.61727803468
135,119303604.43168058,40,430571.74197999836
138,12412018.18542637,44,19829.001712579466
140,46246217.472965285,46,74104.78640023957
143,67450019.51758483,49,27102.830532526474
147,69734508.16033137,51,28020.785916092493
149,75568552.80932698,53,30365.027245773897
15,8871235.750851877,55,3564.648326109711
151,45836430.60805828,57,18418.037828176188
153,93178263.03408581,59,37440.97763633091
155,26120724.22138586,61,10495.854071243153
157,23237749.799794376,63,37349.61077269948
16,12124672.325171731,65,19487.764348666955
160,18022729.95772586,67,29056.612705836636
162,34538296.65680235,69,13878.210975570935
164,55088666.13563367,71,22135.779844329612
166,21575988.968729883,72,8669.684260635266
168,62061185.531002544,74,24937.48417160781
170,37016147.98296428,76,14873.863535171215
172,8306253.513585355,78,3337.62663004434
174,5274088.512598069,80,2132.3343021692367
177,28027999.234958597,82,11331.828058462961
179,74043359.49548328,84,29936.0154693902
18,15389461.523114108,86,6222.0185761510775
181,110198226.95292084,89,44553.56765603282
183,57877296.82285252,91,23400.014056913406
185,61532556.64699873,93,24877.849684387555
187,11523882.749288682,96,4659.150187143912
189,33578454.497409225,98,13575.898502201091
191,31504855.112543646,100,12737.534283105231
193,91888204.94441684,102,37150.75522523163
195,4692518.97264094,104,1897.2034968774865
197,18566219.12421306,106,7553.511846852093
199,28218875.746193483,108,11480.614918292054
2,4501745.119103253,110,1831.4975634596549
20,6123904.424772704,112,2491.459586469289
201,90821556.44802578,114,36949.99493381121
203,83693490.74137743,116,34050.00068080307
205,62335582.796295494,119,25360.713453940483
207,161031046.7751877,121,65514.142184235185
209,124400585.41040224,123,50611.343611007665
211,64902358.53795523,125,26404.98481813838
213,40302588.1357409,127,16396.772811169732
215,27693850.58125735,129,11267.012796249413
217,52578913.7949486,131,21391.293810962397
219,67952733.68032666,133,27646.004576717118
22,1587124.5451512802,135,645.7084220553606
221,29516198.082711793,138,12084.987600275179
223,403718.74738202244,140,165.29690044897941
225,42348199.092049256,143,156049.56272935867
227,19476985.560352072,147,7974.574785275511
229,26451490.86845433,149,10830.186809909424
231,10451941.421406662,151,4279.39879392813
233,26468303.314109985,153,10837.070426719067
235,24430072.792751282,155,90022.76976332774
237,10459322.043626558,157,38541.72470960877
239,10958996.586870851,160,40469.52586244415
24,11566346.087558586,162,42712.3540384367
241,13853845.41191345,164,51159.66144778247
243,16975562.701424923,166,62822.621328397574
245,29203061.55506903,168,108073.75931932263
247,22009132.112005062,170,81101.80635227758
249,14071742.560056869,172,51853.191408775914
251,34907382.12542332,174,128906.43705533384
254,49541786.86279305,177,183342.6656161554
256,40384490.10509179,179,16534.855227487034
258,18493404.117165137,181,7571.861349369301
26,37198222.16941768,183,15230.28312826621
260,4421566.313370818,185,1810.347454680433
262,8062998.291050424,187,3301.2799987087565
264,7547938.906409441,189,3090.3962575389774
267,115249.78476680114,191,47.187385581916445
269,3515672.122440945,193,1439.4419595394065
272,1548646.7706501465,195,634.0713993065037
274,3556136.631834682,197,1465.4395745945244
276,4708639.6234724885,199,1940.371690156483
278,6780766.951051723,201,2794.269530371513
28,40847495.1160206,203,16832.743525714803
280,3777145.3082288196,205,1556.5144950059964
282,55765311.85126918,207,22980.189834351968
284,91852526.36982939,209,37851.281068294775
286,120236314.85876617,211,49547.88646760604
288,87620038.9582386,213,144428.3052039338
290,90869522.788638,215,149784.5849772775
292,81659080.236924,217,135042.85753701156
294,33048031.649636127,219,13618.681860613211
296,24941252.146816768,221,10277.979087948686
298,22824535.363113437,223,37622.77441046064
30,55720807.74134907,225,92147.70825033219
300,9548172.28383333,227,15790.190946597386
302,25545068.523923542,229,42107.1594705294
304,12726728.272444198,231,20978.075529686736
306,25308109.138191424,233,41853.023166119594
308,30689472.889566895,235,50752.39769156473
310,37004011.748512104,237,60995.48420802554
312,52243509.245737605,239,86115.47755490118
314,26915591.399216756,241,44511.38029356965
316,85789442.20326921,243,141873.4008272296
318,68380297.04875639,245,28178.66797375465
32,4975591.715058093,247,2050.3793192301555
320,41043352.44982733,249,67653.72287772663
322,17559524.101870183,251,28944.204275341377
324,48317571.17258322,254,79904.6825100434
326,30525036.348720778,256,113210.69871772995
328,60124328.46123362,258,222988.0140770278
330,35517408.355326414,260,131726.31706686958
331,8978506.369504701,262,33371.802120789886
333,12414440.907911522,264,46142.67099327161
335,14229194.615760094,267,23608.954898196764
337,35643374.38799107,269,59139.17414647833
339,18784541.45125267,272,31270.690268432205
