from,to,capacity (veh/hr),length (m),Free Flow Time (min),B,Power,Speed Limit,Toll,Type
1849702071,6344820621,2400,50.0420,0.050042,0.15,4,0,0,F
1849702071,1849702080,2400,77.0950,0.077095,0.15,4,0,0,F
6344820621,135233327,2400,54.1290,0.054129,0.15,4,0,0,F
6344820621,6344820622,2400,27.2940,0.027294,0.15,4,0,0,F
1849702072,1849702071,2400,63.4600,0.06346,0.15,4,0,0,F
1849702072,1849702080,2400,95.9640,0.095964,0.15,4,0,0,F
3577738501,3577738509,2400,34.7920,0.034792,0.15,4,0,0,F
3577738509,3577738533,2400,40.9690,0.040969,0.15,4,0,0,F
3577738509,1849702072,2400,29256.5620,29.256562,0.15,4,0,0,F
3577738533,3577738536,2400,10.4880,0.010488,0.15,4,0,0,F
3577738536,3577738501,2400,31.8210,0.031821,0.15,4,0,0,F
3577738536,7255005662,2400,12009.1060,12.009106,0.15,4,0,0,F
7255005662,7255005653,2400,230.1210,0.230121,0.15,4,0,0,F
7255005662,7255005664,2400,20.3960,0.020396,0.15,4,0,0,F
6344820617,1849702071,2400,29.2700,0.02927,0.15,4,0,0,F
6344820617,3577738533,2400,29322.9010,29.322901,0.15,4,0,0,F
6344820618,6344820621,2400,46.6780,0.046678,0.15,4,0,0,F
6344820618,135233327,2400,91.4230,0.091423,0.15,4,0,0,F
6344820622,6344820617,2400,41.2200,0.017665714,0.15,4,0,0,F
7255005540,7255005569,2400,2112.8820,2.112882,0.15,4,0,0,F
7255005540,7255005552,2400,38.0450,0.038045,0.15,4,0,0,F
7255005569,7255005585,2400,202.1600,0.20216,0.15,4,0,0,F
7255005569,7255005572,2400,27.1510,0.027151,0.15,4,0,0,F
7255005552,7255005545,2400,16.6550,0.016655,0.15,4,0,0,F
7255005545,8074831382,2400,11991.6760,11.991676,0.15,4,0,0,F
7255005545,7255005557,2400,40.4540,0.040454,0.15,4,0,0,F
8074831382,8074831375,2400,15.9120,0.015912,0.15,4,0,0,F
7255005557,7255005540,2400,11.2100,0.01121,0.15,4,0,0,F
7255005585,7255005594,2400,92.4960,0.092496,0.15,4,0,0,F
7255005572,7255005581,2400,114.0950,0.114095,0.15,4,0,0,F
7255005581,7255005552,2400,2036.9490,2.036949,0.15,4,0,0,F
7255005582,7255005585,2400,32.9000,0.0329,0.15,4,0,0,F
