gridID_lat,gridID_lon,inner_gridID_lat,inner_gridID_lon,KM
0,0,0,0,132829.116
0,0,0,1,214296.55999999997
0,0,1,1,341467.842
0,1,None,None,89210.28599999998
0,2,None,None,81730.30400000006
0,3,None,None,175304.52700000006
0,4,1,0,58003.342
0,4,2,0,420595.193
0,4,2,1,53867.509999999995
0,5,None,None,333242.46900000004
0,6,None,None,326678.34200000006
0,7,None,None,192092.2820000001
0,8,None,None,349828.95900000003
0,9,None,None,268981.61000000004
0,10,0,0,104688.074
0,10,1,0,150406.48299999998
0,10,1,1,142966.34399999998
0,11,0,0,131781.086
0,11,0,1,185963.324
0,11,1,0,143169.856
0,11,1,1,40349.341
0,12,0,0,75291.99299999997
0,12,0,1,81759.16000000002
0,12,1,0,43907.13399999999
0,12,1,1,166984.31800000006
1,0,None,None,248527.01200000005
1,1,None,None,76923.17799999991
1,2,None,None,278292.60000000003
1,4,None,None,320632.122
1,5,0,0,74986.027
1,5,0,1,75081.76
1,5,1,1,340541.891
1,6,None,None,325867.919
1,7,None,None,265039.7990000003
1,8,None,None,195250.67500000005
1,9,None,None,82025.97099999995
1,10,None,None,158128.041
1,11,None,None,127025.05600000007
1,12,None,None,445074.2620000001
2,0,None,None,424704.953
2,1,None,None,253484.42500000013
2,2,None,None,383513.897
2,3,None,None,311492.14499999996
2,4,None,None,178237.82800000004
2,5,0,0,4744.942999999999
2,5,0,1,200735.429
2,5,1,0,370520.46499999997
2,5,1,1,12644.526999999998
2,7,None,None,311800.8650000001
2,8,None,None,608268.19
2,9,None,None,219948.76799999995
2,10,None,None,266760.24500000005
2,11,None,None,518413.721
2,12,None,None,442278.81299999997
3,1,None,None,189760.161
3,2,None,None,550213.4380000001
3,3,None,None,297972.34900000016
3,4,None,None,498468.7409999998
3,5,None,None,45712.02699999999
3,6,None,None,223715.12100000007
3,7,None,None,487301.36999999965
3,8,None,None,284466.42300000007
3,9,None,None,602665.398
3,10,None,None,500201.89200000005
3,11,None,None,190403.17
3,12,None,None,634017.5809999999
3,13,None,None,270619.847
4,0,None,None,255318.36999999994
4,1,None,None,53157.077000000005
4,2,None,None,288779.81200000003
4,3,0,1,180135.884
4,3,1,0,252647.638
4,3,1,1,175597.93899999995
4,4,None,None,221829.20899999992
4,5,None,None,299107.163
4,6,None,None,25679.415000000008
4,7,None,None,35867.04900000003
4,8,None,None,606891.047
4,9,None,None,61453.384
4,10,0,0,89629.472
4,10,0,1,190893.93800000005
4,10,1,0,47315.99200000002
4,10,1,1,36869.327999999994
4,11,None,None,313415.485
4,12,None,None,212927.61500000002
4,13,None,None,392389.81799999997
5,0,None,None,177779.83399999994
5,1,None,None,489959.101
5,2,0,0,240528.335
5,2,0,1,283247.36699999997
5,2,1,1,331555.564
5,3,0,0,235809.59900000002
5,3,0,1,98826.16300000002
5,3,1,0,803433.446
5,3,1,1,154691.512
5,3,1,2,56658.975000000006
5,3,2,0,126763.865
5,3,2,1,265922.838
5,4,None,None,49880.39099999998
5,5,None,None,267363.511
5,6,None,None,170920.55199999997
5,7,None,None,259808.1100000001
5,8,None,None,557209.1039999999
5,9,None,None,406946.49999999994
5,10,None,None,89222.36700000001
5,11,None,None,411647.76
5,12,None,None,367701.0
5,13,None,None,152345.123
5,14,0,0,17954.234
5,14,1,0,185137.156
5,14,1,1,170554.963
6,0,None,None,437169.95599999995
6,1,None,None,458600.815
6,2,None,None,235501.61500000005
6,3,None,None,491694.949
6,4,None,None,486957.36100000003
6,5,None,None,136642.27200000006
6,6,None,None,265845.0259999999
6,7,None,None,569942.0050000001
6,8,0,0,70084.25200000001
6,8,0,1,264783.115
6,8,1,0,290642.24100000004
6,8,1,1,169605.397
6,9,None,None,490597.327
6,10,0,0,190954.75400000002
6,10,0,1,186107.923
6,10,1,0,143529.0
6,10,1,1,148367.62199999997
6,11,None,None,210293.491
6,12,None,None,434750.1540000001
6,13,None,None,147726.532
6,14,0,1,28302.470999999998
6,14,0,2,879163.5619999999
6,14,1,0,88290.83599999998
6,14,1,1,264121.502
6,14,1,2,197417.148
6,14,2,0,125153.32200000001
6,14,2,1,102689.907
6,14,2,2,20006.085
6,15,0,0,506777.16000000003
6,15,0,1,210136.709
6,15,0,2,79512.85400000002
6,15,1,0,163327.467
6,15,1,1,237376.12300000002
6,15,1,2,20867.017999999996
6,15,2,0,62486.201
6,15,2,1,16063.036
7,0,None,None,258259.75900000002
7,1,None,None,471780.975
7,2,None,None,211038.987
7,3,None,None,357553.8820000001
7,4,None,None,379594.779
7,5,None,None,510580.191
7,6,None,None,462792.1320000001
7,7,None,None,427052.8579999999
7,8,None,None,84735.39600000001
7,9,None,None,209855.175
7,10,None,None,205596.886
7,11,None,None,239679.92099999994
7,12,None,None,17363.079999999965
7,13,None,None,333211.732
7,14,None,None,88171.79400000001
8,0,None,None,204783.303
8,1,None,None,178171.386
8,2,None,None,247466.822
8,3,None,None,251690.337
8,4,None,None,218837.61100000003
8,5,None,None,354597.963
8,7,None,None,45783.252000000015
8,8,None,None,141136.256
8,9,None,None,195802.887
8,11,None,None,34093.69000000001
8,12,None,None,304680.299
8,13,None,None,149986.24000000002
9,0,None,None,205548.444
9,1,None,None,211219.16299999997
9,2,None,None,268556.493
9,3,0,0,25826.032999999996
9,3,0,1,51913.979
9,3,0,2,88738.78399999999
9,3,1,0,81057.83899999999
9,3,1,1,45606.11599999998
9,3,1,2,75106.297
9,3,2,0,63019.603000000025
9,3,2,1,51442.97499999998
9,3,2,2,423653.49899999995
9,4,0,1,47992.92
9,4,0,2,13158.432000000003
9,4,1,0,140773.95900000003
9,4,1,1,141833.55299999996
9,4,2,0,279462.98
9,4,2,1,111178.16500000001
9,4,2,2,19219.693000000003
9,5,None,None,54153.82999999998
9,6,None,None,396409.529
