fishnetid,CO2,CO2psqkm
0,18072754.195016265,2112357.671495872
1,12906463.60991693,1508517.5797836273
2,29289554.2157419,3423386.047016068
3,14489527.899839092,1693547.3744239144
4,9318556.2186441,1089160.152533
5,20212099.86966921,2362900.7038843227
6,28754787.77500099,3361585.817988761
7,19076087.785303213,2230094.920661491
8,18458732.428923067,2157922.834856147
9,9761474.418772286,1141167.6631223438
10,15713444.005114809,1836984.1896477928
11,3098976.128204425,362286.5967352253
12,12611279.756081458,1474633.9374144354
13,26168214.031965315,3059843.032542793
14,11693024.439908544,1367262.5620560523
15,27053208.51011591,3163325.226035253
16,19016280.678983036,2223569.1694258284
17,10460930.645956058,1223194.1282596604
19,18196937.616232593,2128210.132538169
20,12727509.812889934,1488537.0229346603
21,26078112.30963147,3049947.4156199503
22,14144384.288946342,6616986.341780765
23,21837267.45768833,10215849.453589007
24,13053519.31787098,6107302.269205705
25,10604113.011335917,4961307.512564324
26,17206370.391515773,8049436.12577442
27,12448910.831252463,5823814.685579395
28,6791963.165274462,3177730.927693432
29,10840711.12144917,5072003.803693642
30,21102906.654709056,2468075.712285471
31,16736792.238242643,1957439.8494304805
32,30590409.707214132,3578431.7332323766
33,28004255.822385244,3275906.359529213
34,7907772.593178393,3700169.381846402
35,5677334.41521079,2656512.7823462575
36,26835060.002362974,12557860.822486833
37,27635201.43311264,12932298.767651666
38,6137100.885365186,2871644.6409852426
39,10509324.298135428,4917475.753598049
40,22516458.114960924,10536907.582771756
41,33482840.204911962,15668787.295372102
42,41909288.05251685,4902501.395688581
43,39149048.42379233,4579611.667398877
44,11036545.866148677,1291042.726485199
