fishnetid,CO2,CO2psqkm
1,1681239.107833318,202129.648835042
2,4558800.8053678945,548089.0859632961
3,3338491.4761620145,401375.4537182174
4,9076507.24309512,1091237.5361409942
5,27888420.531389374,3352929.7660935414
6,12574205.402090434,1511753.8668132967
7,2200032.3784162155,264502.39588352456
8,1035337.0756799964,124510.01392794302
9,8097393.818363991,973795.5307376046
10,8150537.6863891,3920746.5168726537
11,2911503.8042076505,1400554.0294943857
12,5422561.534543,2608843.511494832
13,19320625.979079418,9295328.306095405
14,23821688.41223988,2864804.9274636647
15,13842819.140063891,6658969.8760317005
16,16412133.868977593,7894916.774475534
17,865218.4135400035,416264.4222313764
18,8541337.416588787,4109314.861033273
19,23400658.933753684,2814171.768986911
20,21039028.49258674,2530161.2317141457
22,2494796.5321341115,1200438.0074095211
23,12250726.633732704,5894764.434734426
24,12461033.288312363,5996802.6652487395
25,29836876.56642401,14358830.184983473
26,17214237.512238666,8283090.309007676
27,14741016.16028397,7093033.775993028
28,25850895.412026316,12440599.019288957
29,9103228.570966264,4380877.901031401
30,14950499.257212017,1798458.045762952
31,12095366.15146149,1455002.1505840889
32,25548820.3735852,3073374.391726153
33,35418680.7313958,4260661.148220404
34,46400658.16937624,5581729.116715325
35,10622458.881911669,1278179.6444105771
36,12907821.3942038,6212691.318197676
37,11387993.104890203,5481179.490618435
38,20795674.80226172,10010620.632196551
40,55085650.33502739,6628348.270402048
41,18853023.16967465,2268547.30330878
42,24140326.300033104,2904758.119484693
44,24656419.517925143,11867434.38716179
45,23810894.604366004,11462086.951451015
46,28490114.41500213,13714569.490457721
47,15551670.223250037,1871301.9779054073
48,44322095.04398324,5333190.771799109
49,7222434.446587964,869306.2313064446
50,20289465.186162397,9768317.650982978
51,16070498.201995298,7738196.142690778
52,8533616.396004068,4109069.7157472097
53,54418445.93046017,6549909.7977553215
54,15892940.519191818,7651620.679759886
55,38038403.453710146,18313504.297072537
56,33907442.21087947,16326963.559366798
57,26297970.54620895,12662883.980535436
58,28359562.401390683,3413411.986632076
59,36204641.18262329,4357660.898830354
60,11795930.169092802,1419781.0552493518
61,44501636.4908775,5356303.361550608
62,3286637.7570543964,395697.6697923539
63,13470866.596970703,6487347.743338932
64,8657289.340051698,4169208.124759372
65,29921538.64629072,14411754.175711356
66,46415975.83271744,22356324.700905263
67,75919496.9733971,9140395.21991576
68,46841308.85901168,5639500.953746391
69,15762984.525086049,1897798.5122213017
70,15955813.3750453,1921014.3127560047
72,50057920.8996033,6026767.815254225
73,5657882.246959852,2725512.2546024066
74,54433261.710958935,26221564.07213628
75,4997163.75422788,2407571.3005777714
76,18797370.495721158,9056339.147092244
77,89379605.39453116,10763974.920063142
78,42942366.166277215,5171543.892832652
79,24001972.165727045,2890554.565367856
80,31376879.916133165,3778713.8016135776
81,47302248.72478852,5696604.014850195
82,49518602.06722795,5963519.176162434
83,19442492.591623385,2342118.696976207
84,47236215.50537267,22761036.983148094
86,38407204.108506635,18509344.812892426
87,23374051.22918371,11264511.01864271
88,53809535.237971894,6482107.063306902
89,24895520.653857008,2999011.7840903546
90,25419651.778859235,3062150.669279594
91,30829544.954846848,3713847.559295961
92,10133162.685219413,1220680.4077569349
93,9658134.95061247,1163785.832776823
94,31272772.62575073,15073224.728259094
95,27805638.676882166,13402094.067753108
96,10059779.19628771,4849418.896074637
97,31471135.693436302,15170981.105542034
98,31531885.86632783,3799528.8158239056
99,33031818.784453746,3980267.7151212096
100,36957686.03839559,4453326.821756615
101,48146491.62957711,5801555.387551102
102,14019900.385836829,1689369.7933827823
103,65359718.39011327,7877944.736516689
104,32604497.077465124,3929888.8132448043
105,34122717.46073307,4112883.1187879043
106,9180233.153059768,1106512.8680095873
107,5432823.984835307,654829.7356530388
108,19174503.239091814,2311143.324793515
109,24444021.629085965,2947124.624229715
110,22368688.85473936,2696909.4830565546
111,30744307.10016136,3706726.5724373395
112,33893354.87364648,4086395.531045637
113,21710111.32474563,2617507.2437259476
114,10853497.438486734,1308565.7526137538
115,4992687.856667899,602120.5699926282
116,25214050.311395828,3040826.6611423315
117,13358907.520611817,1611090.7073926132
118,18137794.557328932,2187426.795104474
119,12483000.094707519,1505455.8482371566
120,3907052.5458083074,471192.42648644565
