from,to,capacity (veh/hr),length (m),Free Flow Time (min),B,Power,Speed Limit,Toll,Type
442874,26384674,2700,612.679,0.5251534285714285,0.15,4,0,0,A
442928,1803689295,1800,30.892,0.0264788571428571,0.15,4,0,0,A
26384674,264670999,900,283.78599999999994,0.3405431999999999,0.15,4,0,0,A
26384674,534589,1800,557.894,0.6694728,0.15,4,0,0,A
1803689298,1803689295,1400,43.606,0.0373765714285714,0.15,4,0,0,A
1803689295,139470345,2700,692.7610000000001,0.5937951428571429,0.15,4,0,0,A
442936,15866840,1800,260.692,0.3128304,0.15,4,0,0,A
15866840,1803689315,2700,604.7139999999999,0.5183262857142856,0.15,4,0,0,A
264670999,534589,1800,272.25600000000003,0.3267072,0.15,4,0,0,A
534589,534591,3600,304.9069999999999,0.3658883999999999,0.15,4,0,0,A
534591,534626,3600,541.967,0.6503604000000001,0.15,4,0,0,A
8083440,534911,1800,31.226,0.0374711999999999,0.15,4,0,0,A
534626,534624,1400,58.368,0.0700416,0.15,4,0,0,A
534626,534625,1800,66.222,0.0794663999999999,0.15,4,0,0,A
534608,30409417,2100,714.1659999999999,0.8569992,0.15,4,0,0,A
30409417,30409422,1400,15.849,0.0190188,0.15,4,0,0,A
30409417,30403571,2100,146.23200000000003,0.1754784,0.15,4,0,0,A
534625,30436908,1800,17.695,0.021234,0.15,4,0,0,A
534625,534624,1400,56.363,0.0676355999999999,0.15,4,0,0,A
30436908,30436907,1400,17.517,0.0210203999999999,0.15,4,0,0,A
30436908,534628,1800,304.045,0.3648539999999999,0.15,4,0,0,A
534628,534629,2700,178.166,0.2137992,0.15,4,0,0,A
534629,3595409680,3600,522.992,0.6275903999999999,0.15,4,0,0,A
11769656,11388060175,2700,160.837,0.1930044,0.15,4,0,0,A
3595409680,3855350,1800,8.705,0.0104459999999999,0.15,4,0,0,A
3595409680,7128283652,1400,36.004999999999995,0.0432059999999999,0.15,4,0,0,A
3160432771,30409397,1200,125.87200000000004,0.1510464,0.15,4,0,0,A
30409405,30409419,2800,599.6789999999999,0.7196147999999998,0.15,4,0,0,A
534736,140605768,1400,46.052,0.0921039999999999,0.15,4,0,0,A
534306820,2021890013,2800,154.698,0.1856376,0.15,4,0,0,A
140605768,534324288,1400,160.239,0.320478,0.15,4,0,0,A
534329195,2021890013,1800,13.435,0.016122,0.15,4,0,0,A
534329195,534306820,1400,162.19499999999996,0.1946339999999999,0.15,4,0,0,A
534742,534770,2100,445.353,0.5344236,0.15,4,0,0,A
534770,29138173,2100,57.914,0.0694968,0.15,4,0,0,A
534743,534744,1800,50.828,0.0609936,0.15,4,0,0,A
534744,534747,1800,37.105,0.044526,0.15,4,0,0,A
247994358,534742,1400,45.02,0.054024,0.15,4,0,0,A
534747,277692998,1400,11.887,0.0142644,0.15,4,0,0,A
534747,2287846802,3600,258.843,0.3106116,0.15,4,0,0,A
277692998,288154283,2100,61.39,0.073668,0.15,4,0,0,A
2287846802,29510418,1800,35.733999999999995,0.0428807999999999,0.15,4,0,0,A
2287846802,2287846804,1800,46.887,0.0562644,0.15,4,0,0,A
534749,25235133,1800,17.868000000000002,0.0214416,0.15,4,0,0,A
534749,7095690293,600,610.9270000000001,0.7331124000000002,0.15,4,0,0,A
25235133,25235132,1200,9.536,0.0114431999999999,0.15,4,0,0,A
25235133,534751,1800,542.553,0.6510636,0.15,4,0,0,A
7095690293,7095690318,1200,10.908,0.0130896,0.15,4,0,0,A
534751,534754,900,428.259,0.5139108,0.15,4,0,0,A
29510455,25235132,900,551.1689999999999,0.6614027999999998,0.15,4,0,0,A
534754,3098430373,1800,127.4,0.15288,0.15,4,0,0,A
3098430373,16574394,1800,16.344,0.0196128,0.15,4,0,0,A
3098430373,2260849842,1800,169.399,0.2032788,0.15,4,0,0,A
534758,25873172,1200,17.576,0.0210911999999999,0.15,4,0,0,A
534758,2202559858,2100,514.4179999999999,0.6173015999999999,0.15,4,0,0,A
25873172,25873173,1400,12.711,0.0152531999999999,0.15,4,0,0,A
25873172,3100041009,1200,149.898,0.1798775999999999,0.15,4,0,0,A
2202559858,25873172,2100,513.409,0.6160908,0.15,4,0,0,A
534769,546378258,2100,466.515,0.559818,0.15,4,0,0,A
534769,534770,1400,34.331,0.0411972,0.15,4,0,0,A
546378258,247994363,1400,28.145,0.033774,0.15,4,0,0,A
546378258,290077155,1400,199.32700000000003,0.2391924,0.15,4,0,0,A
29138173,1775338888,1400,72.62899999999999,0.0871547999999999,0.15,4,0,0,A
29138173,534773,2100,524.5669999999999,0.6294803999999998,0.15,4,0,0,A
534773,2544089666,1400,19.567,0.0234804,0.15,4,0,0,A
534773,335716508,1800,215.889,0.2590668,0.15,4,0,0,A
2544089666,2544089665,1400,31.119,0.0373427999999999,0.15,4,0,0,A
2544089666,16574602,1400,21.847,0.0262164,0.15,4,0,0,A
335716508,534799,2700,418.3539999999999,0.5020247999999999,0.15,4,0,0,A
534774,534804,2100,123.165,0.1477979999999999,0.15,4,0,0,A
244038933,534778,1400,69.168,0.0830016,0.15,4,0,0,A
534804,18630111,3600,404.868,0.4858415999999999,0.15,4,0,0,A
534804,16574613,1400,40.308,0.0483696,0.15,4,0,0,A
534778,244038915,1400,17.262,0.0207144,0.15,4,0,0,A
534778,30058360,1400,180.6620000000001,0.2167944,0.15,4,0,0,A
244038915,534787,1400,146.46,0.175752,0.15,4,0,0,A
244038915,244038942,1400,15.993,0.0191916,0.15,4,0,0,A
30058360,30056676,1400,612.0260000000001,0.7344312000000001,0.15,4,0,0,A
30058360,30056684,1400,18.049,0.0216588,0.15,4,0,0,A
534787,244038955,1400,38.97,0.0467639999999999,0.15,4,0,0,A
534787,244038923,1400,102.026,0.1224311999999999,0.15,4,0,0,A
244038955,244038925,1400,36.898,0.0442775999999999,0.15,4,0,0,A
244038955,2072816,1400,259.661,0.3115932,0.15,4,0,0,A
244038923,244038955,1400,75.48100000000001,0.150962,0.15,4,0,0,A
534790,30261537,1400,33.547,0.0402563999999999,0.15,4,0,0,A
534790,30409389,1400,24.669,0.0296028,0.15,4,0,0,A
30261537,30409389,1400,38.226,0.0458712,0.15,4,0,0,A
30409389,30409397,1400,32.822,0.0393864,0.15,4,0,0,A
30409389,3160432771,1200,146.73899999999998,0.1760867999999999,0.15,4,0,0,A
534796,534790,1400,39.242,0.0470904,0.15,4,0,0,A
534796,3160432775,1400,135.418,0.1625016,0.15,4,0,0,A
3160432775,534790,1400,122.332,0.1467984,0.15,4,0,0,A
534799,1501721437,1800,13.322,0.0159863999999999,0.15,4,0,0,A
534799,11769597,3600,354.123,0.4249476,0.15,4,0,0,A
1501721437,18630516,1800,8.869,0.0106428,0.15,4,0,0,A
1501721437,2071676,1800,160.48700000000002,0.320974,0.15,4,0,0,A
11769597,3595409680,1400,18.255,0.021906,0.15,4,0,0,A
11769597,11769656,2700,533.646,0.6403751999999999,0.15,4,0,0,A
18630111,280008666,1800,19.543,0.0234516,0.15,4,0,0,A
18630111,35711189,2100,733.8369999999999,0.8806043999999998,0.15,4,0,0,A
16574613,534773,1800,34.458,0.0413496,0.15,4,0,0,A
16574613,16574619,700,119.072,0.1428864,0.15,4,0,0,A
534806,280008531,1400,18.402,0.0220824,0.15,4,0,0,A
534806,2287864441,3600,206.602,0.2479224,0.15,4,0,0,A
280008531,18630070,1400,27.872,0.0334464,0.15,4,0,0,A
280008531,31197353,1800,35.964,0.0431568,0.15,4,0,0,A
2287864441,280221322,1400,50.112,0.0601344,0.15,4,0,0,A
2287864441,24969587,1800,34.981,0.0419772,0.15,4,0,0,A
24669567,976932104,1200,49.192,0.098384,0.15,4,0,0,A
1854526402,27318980,1200,30.668,0.0306679999999999,0.15,4,0,0,A
27318980,27318981,1200,43.508,0.0435079999999999,0.15,4,0,0,A
534908,534911,1200,37.577000000000005,0.0450924,0.15,4,0,0,A
534911,534914,1800,226.276,0.2715312,0.15,4,0,0,A
3853544,15511907,1200,274.595,0.3295139999999999,0.15,4,0,0,A
534914,442936,900,339.779,0.4077347999999999,0.15,4,0,0,A
534914,15866840,1800,591.1490000000001,0.7093788000000002,0.15,4,0,0,A
30409415,30409424,1200,40.311,0.0483732,0.15,4,0,0,A
536575,30409422,1400,137.062,0.1644744,0.15,4,0,0,A
30403571,10919767,2100,332.78700000000003,0.3993444,0.15,4,0,0,A
30409422,30409424,1400,11.597,0.0139163999999999,0.15,4,0,0,A
30409422,30409415,1200,38.719,0.0464627999999999,0.15,4,0,0,A
536584,30587893,700,801.771,0.9621252,0.15,4,0,0,A
30587893,1619208224,1400,322.261,0.3867132,0.15,4,0,0,A
536652,25479302,1400,949.489,1.1393868,0.15,4,0,0,A
536652,18629762,1400,27.809,0.0333708,0.15,4,0,0,A
25479302,18627237,1400,968.663,1.1623956,0.15,4,0,0,A
25479302,28796755,1400,36.496,0.0437951999999999,0.15,4,0,0,A
18629762,264218470,1400,147.84699999999998,0.1774164,0.15,4,0,0,A
18629762,264223496,1400,15.535,0.018642,0.15,4,0,0,A
25599929,2526224454,2100,74.029,0.0888347999999999,0.15,4,0,0,A
264218470,264223496,700,149.28699999999998,0.1791443999999999,0.15,4,0,0,A
3899207524,309517759,1400,10.684,0.0128208,0.15,4,0,0,A
536663,21527849,1800,54.42100000000001,0.0653052,0.15,4,0,0,A
536663,536667,1400,1455.115,1.455115,0.15,4,0,0,A
21527849,2297622,1400,11.633,0.011633,0.15,4,0,0,A
21527849,21552197,1800,58.671,0.0704052,0.15,4,0,0,A
21647397,2297615,1400,98.543,0.1182516,0.15,4,0,0,A
21647058,1632149359,2100,229.611,0.2755332,0.15,4,0,0,A
536670,24945363,1200,12.608,0.0151296,0.15,4,0,0,A
536670,2075220,2800,418.513,0.418513,0.15,4,0,0,A
24945363,21660961,1400,10.83,0.01083,0.15,4,0,0,A
2075220,25096430,1400,23.918,0.0287015999999999,0.15,4,0,0,A
2075220,3869392962,700,257.122,0.3085463999999999,0.15,4,0,0,A
344434421,10919786,2100,179.87699999999998,0.2158523999999999,0.15,4,0,0,A
1630023963,311941598,1400,180.64,0.216768,0.15,4,0,0,A
3100041009,25873173,1200,148.412,0.1780944,0.15,4,0,0,A
31296012,3148489413,1800,98.84099999999998,0.1186091999999999,0.15,4,0,0,A
536675,3148489416,1400,140.248,0.1682976,0.15,4,0,0,A
3148489416,3148489413,1400,15.044,0.0180528,0.15,4,0,0,A
3148489416,31296012,1200,108.26300000000002,0.1299156,0.15,4,0,0,A
248219433,248219482,1300,314.529,0.3774347999999999,0.15,4,0,0,A
2071674,518252065,1400,33.567,0.0402804,0.15,4,0,0,A
518252065,29348253,1400,196.862,0.2362344,0.15,4,0,0,A
11769758,3853550,1200,672.3480000000003,1.3446960000000006,0.15,4,0,0,A
534316145,518252065,1400,38.921,0.0467051999999999,0.15,4,0,0,A
2071676,18178669,2100,622.621,0.7471452000000001,0.15,4,0,0,A
18178669,534743,1400,45.265,0.054318,0.15,4,0,0,A
18178669,534744,2100,57.506,0.0690072,0.15,4,0,0,A
7101166877,16574525,900,78.46900000000001,0.0941628,0.15,4,0,0,A
2287857538,5824956622,1800,27.539,0.0330468,0.15,4,0,0,A
2274921120,206133365,600,1248.5469999999998,1.4982563999999998,0.15,4,0,0,A
2072802,30151417,1200,1448.8299999999997,1.7385959999999996,0.15,4,0,0,A
316507154,316507156,2100,232.267,0.2787204,0.15,4,0,0,A
30151417,30151418,1200,22.448,0.0269376,0.15,4,0,0,A
2072807,1485594848,1200,8.559,0.0102708,0.15,4,0,0,A
2072807,1485594778,1400,72.769,0.0873228,0.15,4,0,0,A
1485594848,159725096,1200,18.064,0.0216768,0.15,4,0,0,A
1485594848,11007703,700,331.48599999999993,0.3977831999999999,0.15,4,0,0,A
1485594778,1485594848,1400,69.90799999999999,0.0838896,0.15,4,0,0,A
2072816,244038925,1400,295.30800000000005,0.3543696,0.15,4,0,0,A
244038925,244038942,1400,143.923,0.1727076,0.15,4,0,0,A
2075215,25755498,1400,15.023,0.0180276,0.15,4,0,0,A
2075215,2039066667,2800,2723.3689999999992,3.268042799999999,0.15,4,0,0,A
25755498,25755497,1400,12.97,0.015564,0.15,4,0,0,A
25755498,25755500,1400,38.617,0.0463404,0.15,4,0,0,A
2039066667,25755506,2800,2193.689,2.6324268,0.15,4,0,0,A
25096430,25096432,1400,15.229,0.0182748,0.15,4,0,0,A
25096430,10919799,2800,283.28200000000004,0.3399384,0.15,4,0,0,A
3869392962,25096430,2800,255.909,0.3070908,0.15,4,0,0,A
21540856,21647397,1400,84.88900000000001,0.1018668,0.15,4,0,0,A
2297619,3790101104,700,962.581,1.925162,0.15,4,0,0,A
3790101104,21552197,1400,101.09,0.121308,0.15,4,0,0,A
3790101104,21527849,1400,83.09399999999998,0.0830939999999999,0.15,4,0,0,A
