From,To,Demand,TT,Distance,Estimated?
442874,26384674,,0.548816693811075,614,No
442928,1803689295,,0.036776190476190476,28,No
26384674,264670999,,0.6852312131919905,283,No
26384674,534589,,0.500802513464991,557,No
1803689298,1803689295,,0.17303968253968252,42,No
1803689295,139470345,,0.8105369866284623,698,No
442936,15866840,,0.3126987373737374,264,No
15866840,1803689315,,0.6962167763157894,608,No
264670999,534589,,0.5562732049036778,2855,No
534589,534591,,1.062856644880174,306,No
534591,534626,,1.0792847732843136,544,No
8083440,534911,,0.03252708333333333,32,No
534626,534624,,0.2953142857142857,56,No
534626,534625,,0.24622903587443942,892,No
534608,30409417,,1.4899151599443672,719,No
30436919,30436908,,1.7306526574500767,1085,No
30409417,30409422,,0.1398441176470588,17,No
30409417,30403571,,0.20742127659574475,141,No
534624,534608,,1.6295499510284033,1021,No
534625,30436908,,0.03331426502534396,2762,No
534625,534624,,0.0676356,0,Yes
30436908,30436907,,0.0210204,0,Yes
30436908,534628,,0.36485399999999996,0,Yes
534628,534629,,0.2137992,0,Yes
534629,3595409680,,0.6275904,0,Yes
11769656,11388060175,,0.21644730848861282,161,No
3595409680,3855350,,0.016120370370370368,9,No
3595409680,7128283652,,0.0545530303030303,33,No
3160432771,30409397,,0.42989071038251375,122,No
30409405,30409419,,4.160293781094526,603,No
534736,140605768,,0.17521852770885027,403,No
534306820,2021890013,,0.6235104575163399,153,No
140605768,534324288,,0.267065,160,No
534329195,2021890013,,0.11195833333333333,22,No
534329195,534306820,,0.5002076771653542,254,No
534742,534770,,1.4778678970917227,447,No
534770,29138173,,0.1997034482758621,58,No
534743,534744,,0.09541886446886448,728,No
534744,534747,,0.04882236842105264,38,No
247994358,534742,,0.19405172413793104,58,No
534747,277692998,,0.07619871794871795,13,No
534747,2287846802,,0.36786472868217046,258,No
277692998,288154283,,0.06394791666666666,64,No
2287846802,29510418,,0.34741388888888886,48,No
2287846802,2287846804,,0.18289255319148937,47,No
534749,25235133,,0.0214416,0,Yes
534749,7095690293,,0.7331124000000001,0,Yes
25235133,25235132,,0.011443199999999999,0,Yes
