,from,highway,lanes,length,maxspeed,oneway,osmid,to,geometry,capacity,edgeID
0,442757,residential,2.0,74.56,30,True,510123367,2014303347,"LINESTRING (13.7294465 51.0172141, 13.7294846 51.0172081, 13.7297636 51.0171641, 13.7298533 51.0171512, 13.7301755 51.0171226, 13.7304939 51.0170943)",400,0
1,2014303347,residential,2.0,222.96699999999998,30,True,510123367,442756,"LINESTRING (13.7304939 51.0170943, 13.7313528 51.0170059, 13.7336699 51.0170137)",400,1
2,1420907,residential,2.0,65.22,30,True,109,1420910,"LINESTRING (13.7367677 51.018442, 13.7367679 51.0180226, 13.7368031 51.0179379, 13.7368781 51.0178738)",400,2
3,442874,primary,3.0,612.679,70,True,"[4294198, 103678821, 4294197, 137942318]",26384674,"LINESTRING (13.7227658 51.0142048, 13.7228529 51.014475, 13.7229904 51.0147106, 13.7231185 51.0148677, 13.7233285 51.0150503, 13.7236432 51.0152394, 13.7239213 51.0153603, 13.7242258 51.0154542, 13.7244881 51.0155114, 13.724869 51.0155653, 13.7260904 51.0156544, 13.7265195 51.015699, 13.726855 51.0157573, 13.7272392 51.0158426, 13.7276548 51.0159752, 13.7280488 51.0161515, 13.7283526 51.0163211, 13.7285671 51.0164439, 13.7287836 51.0166127, 13.7290163 51.0168448, 13.7291576 51.0170193, 13.7292735 51.017199, 13.7292853 51.0172202)",900,3
4,442928,primary,2.0,30.892,70,True,30585074,1803689295,"LINESTRING (13.722577 51.0142134, 13.7225572 51.0140931, 13.7225495 51.0139363)",900,4
5,26384674,primary_link,1.0,283.78599999999994,50,True,"[4335235, 2533988]",264670999,"LINESTRING (13.7292853 51.0172202, 13.7294998 51.0175938, 13.7296475 51.0179995, 13.7296414 51.0181529, 13.7295908 51.0186285, 13.7295733 51.0190065, 13.7295702 51.0193747, 13.7296196 51.019575, 13.7296336 51.0196156, 13.7296896 51.0197282)",900,5
6,26384674,primary,2.0,557.894,50,True,"[31553764, 1167891187, 1167891188, 1167891190, 1167891191, 5200536, 277710969]",534589,"LINESTRING (13.7292853 51.0172202, 13.7294164 51.0176006, 13.7294615 51.0178492, 13.7294689 51.0179875, 13.7294452 51.0182648, 13.7293747 51.0187292, 13.7293003 51.0192219, 13.7292953 51.0194872, 13.7293091 51.019607, 13.7293124 51.0196359, 13.7293431 51.0197786, 13.7293497 51.0198052, 13.7293822 51.0199367, 13.7294523 51.0201151, 13.7295398 51.0203031, 13.7302085 51.0216449, 13.7303061 51.0218682, 13.7304209 51.0221226)",900,6
7,1803689298,secondary_link,2.0,43.606,70,True,169207251,1803689295,"LINESTRING (13.7221892 51.0142332, 13.722293 51.0141954, 13.7223804 51.0141575, 13.7224375 51.0141213, 13.7224754 51.0140789, 13.7225048 51.0140353, 13.7225495 51.0139363)",700,7
8,1803689295,primary,3.0,692.7610000000001,70,True,"[22740550, 22740551, 238323121, 30585074, 22740531, 22740530]",139470345,"LINESTRING (13.7225495 51.0139363, 13.7225569 51.0138727, 13.7226575 51.0135101, 13.7228881 51.0131921, 13.7236214 51.0125239, 13.7239713 51.0120338, 13.7242732 51.0116878, 13.7246738 51.0113681, 13.7250803 51.0111637, 13.7253058 51.0110673, 13.725542 51.010982, 13.7258702 51.0108897, 13.7262175 51.0108285, 13.7265039 51.0107869, 13.7278752 51.0106867, 13.7281315 51.0106593, 13.7284107 51.0106084, 13.7288449 51.0104737, 13.7291597 51.0103239, 13.7294149 51.0101715)",900,8
9,442936,primary_link,2.0,260.692,50,True,3237865,15866840,"LINESTRING (13.7287555 51.0196656, 13.7287728 51.0195704, 13.7287958 51.019493, 13.7289442 51.0190576, 13.7291027 51.0184259, 13.7291947 51.0180205, 13.7292286 51.0178253, 13.7292129 51.0175488, 13.7291623 51.0173488)",900,9
10,15866840,primary,3.0,604.7139999999999,70,True,"[2533571, 98213158, 4294196, 30585076, 224517433]",1803689315,"LINESTRING (13.7291623 51.0173488, 13.7290976 51.0172265, 13.7289716 51.0170513, 13.7288405 51.0168825, 13.7287067 51.0167462, 13.7285582 51.0166125, 13.7282693 51.0163895, 13.7279568 51.0162162, 13.7275917 51.016053, 13.7271299 51.0159133, 13.7268101 51.0158394, 13.7264175 51.0157755, 13.7259766 51.0157344, 13.7248889 51.015654, 13.7245009 51.0156063, 13.7241805 51.0155375, 13.7238779 51.0154478, 13.7234828 51.0152666, 13.7232344 51.0151351, 13.7229673 51.0149257, 13.7228183 51.0147576, 13.7227273 51.0146216, 13.7226344 51.0144087)",900,10
11,264670999,primary_link,2.0,272.25600000000003,50,True,2533990,534589,"LINESTRING (13.7296896 51.0197282, 13.7297294 51.0198616, 13.7298084 51.0202392, 13.7298651 51.0204575, 13.7298931 51.0205509, 13.7302583 51.0213701, 13.7304079 51.0217595, 13.7304362 51.021943, 13.7304209 51.0221226)",900,11
