,osmid,y,x,street_count,lon,lat,highway,ref,geometry,gridID_lon,gridID_lat,inner_grid_lon,inner_grid_lat
0,442734,51.0166317,13.7369788,3,13.7369788,51.0166317,,,POINT (13.7369788 51.0166317),4.0,2.0,None,None
1,442736,51.0166949,13.7393911,3,13.7393911,51.0166949,,,POINT (13.7393911 51.0166949),4.0,2.0,None,None
2,442746,51.0170635,13.7352592,3,13.7352592,51.0170635,,,POINT (13.7352592 51.0170635),4.0,2.0,None,None
3,442743,51.015686,13.7401698,1,13.7401698,51.015686,,,POINT (13.7401698 51.015686),4.0,2.0,None,None
4,442740,51.0179311,13.7415156,1,13.7415156,51.0179311,,,POINT (13.7415156 51.0179311),4.0,2.0,None,None
5,471157,51.016217,13.7403173,1,13.7403173,51.016217,,,POINT (13.7403173 51.016217),4.0,2.0,None,None
6,442749,51.0170325,13.7342507,3,13.7342507,51.0170325,,,POINT (13.7342507 51.0170325),4.0,2.0,None,None
7,534646,51.0174458,13.7370239,3,13.7370239,51.0174458,,,POINT (13.7370239 51.0174458),4.0,2.0,None,None
8,442756,51.0170137,13.7336699,3,13.7336699,51.0170137,,,POINT (13.7336699 51.0170137),4.0,2.0,None,None
9,264671000,51.0191365,13.7350712,4,13.7350712,51.0191365,,,POINT (13.7350712 51.0191365),4.0,2.0,None,None
10,442770,51.0156279,13.728958,1,13.728958,51.0156279,,,POINT (13.728958 51.0156279),4.0,2.0,None,None
11,442757,51.0172141,13.7294465,1,13.7294465,51.0172141,,,POINT (13.7294465 51.0172141),4.0,2.0,None,None
12,2014303347,51.0170943,13.7304939,3,13.7304939,51.0170943,,,POINT (13.7304939 51.0170943),4.0,2.0,None,None
13,442764,51.0183811,13.7395089,3,13.7395089,51.0183811,,,POINT (13.7395089 51.0183811),4.0,2.0,None,None
14,2075223,51.018441,13.7414758,1,13.7414758,51.018441,,,POINT (13.7414758 51.018441),4.0,2.0,None,None
15,1420908,51.0179656,13.7395325,3,13.7395325,51.0179656,,,POINT (13.7395325 51.0179656),4.0,2.0,None,None
16,1420907,51.018442,13.7367677,3,13.7367677,51.018442,,,POINT (13.7367677 51.018442),4.0,2.0,None,None
17,442874,51.0142048,13.7227658,3,13.7227658,51.0142048,,,POINT (13.7227658 51.0142048),4.0,1.0,None,None
18,442928,51.0142134,13.722577,4,13.722577,51.0142134,,,POINT (13.722577 51.0142134),4.0,1.0,None,None
19,26384674,51.0172202,13.7292853,3,13.7292853,51.0172202,,,POINT (13.7292853 51.0172202),4.0,2.0,None,None
20,1803689298,51.0142332,13.7221892,4,13.7221892,51.0142332,,,POINT (13.7221892 51.0142332),4.0,1.0,None,None
21,1803689295,51.0139363,13.7225495,3,13.7225495,51.0139363,,,POINT (13.7225495 51.0139363),4.0,1.0,None,None
22,442936,51.0196656,13.7287555,4,13.7287555,51.0196656,,,POINT (13.7287555 51.0196656),4.0,2.0,None,None
23,15866840,51.0173488,13.7291623,3,13.7291623,51.0173488,,,POINT (13.7291623 51.0173488),4.0,2.0,None,None
24,264670999,51.0197282,13.7296896,4,13.7296896,51.0197282,,,POINT (13.7296896 51.0197282),4.0,2.0,None,None
25,3762854,51.0194999,13.7259874,3,13.7259874,51.0194999,,,POINT (13.7259874 51.0194999),4.0,2.0,None,None
26,534588,51.0218839,13.735323,3,13.735323,51.0218839,,,POINT (13.735323 51.0218839),4.0,2.0,None,None
27,2069973,51.0197767,13.7351321,4,13.7351321,51.0197767,,,POINT (13.7351321 51.0197767),4.0,2.0,None,None
28,8083439,51.0220784,13.7317382,3,13.7317382,51.0220784,,,POINT (13.7317382 51.0220784),4.0,2.0,None,None
29,534589,51.0221226,13.7304209,4,13.7304209,51.0221226,,,POINT (13.7304209 51.0221226),4.0,2.0,None,None
30,534591,51.0247684,13.7312633,4,13.7312633,51.0247684,,,POINT (13.7312633 51.0247684),4.0,2.0,None,None
31,8083440,51.0247932,13.7310009,4,13.7310009,51.0247932,,,POINT (13.7310009 51.0247932),4.0,2.0,None,None
32,310611534,51.0249749,13.7315782,3,13.7315782,51.0249749,,,POINT (13.7315782 51.0249749),4.0,2.0,None,None
33,310611518,51.0247049,13.7317894,3,13.7317894,51.0247049,,,POINT (13.7317894 51.0247049),4.0,2.0,None,None
